Reporting Area,MMWR Year,MMWR Week,"Syphilis, Congenital, Current week","Syphilis, Congenital, Current week, flag","Syphilis, Congenital, Previous 52 weeks Max†","Syphilis, Congenital, Previous 52 weeks Max†, flag","Syphilis, Congenital, Cum 2020†","Syphilis, Congenital, Cum 2020†, flag","Syphilis, Congenital, Cum 2019†","Syphilis, Congenital, Cum 2019†, flag","Syphilis, Primary and secondary, Current week","Syphilis, Primary and secondary, Current week, flag","Syphilis, Primary and secondary, Previous 52 weeks Max†","Syphilis, Primary and secondary, Previous 52 weeks Max†, flag","Syphilis, Primary and secondary, Cum 2020†","Syphilis, Primary and secondary, Cum 2020†, flag","Syphilis, Primary and secondary, Cum 2019†","Syphilis, Primary and secondary, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MONTANA,2020,2,,-,0,,,-,,-,,-,5,,,-,1,,MONTANA,,20200252,POINT (-109.645127 47.033521)
NEVADA,2020,2,,-,3,,,-,1,,,-,23,,,-,28,,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,-,2,,,-,,-,,-,19,,1,,25,,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,1,,,-,,-,,-,5,,,-,5,,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
PACIFIC,2020,2,,-,14,,,-,18,,17,,211,,49,,324,,,PACIFIC,20200257,
ALASKA,2020,2,,-,0,,,-,,-,,-,7,,,-,1,,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,,-,14,,,-,15,,1,,186,,28,,279,,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,0,,,-,,-,,-,5,,,-,2,,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,2,,,-,1,,7,,14,,8,,11,,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,3,,,-,2,,9,,26,,13,,31,,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,1,,,-,1,,,-,14,,,-,7,,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,1,,,-,1,,,-,14,,,-,7,,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,,-,37,,,-,54,,54,,781,,165,,1326,,,TOTAL,20200270,
TOTAL,2020,3,,-,37,,,-,82,,62,,781,,461,,2111,,,TOTAL,20200370,
US RESIDENTS,2020,3,,-,37,,,-,81,,62,,773,,461,,2096,,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,1,,,-,,-,,-,3,,,-,4,,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,2,,,-,2,,5,,48,,12,,24,,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,14,,,-,30,,27,,214,,198,,527,,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,13,,,-,23,,,-,85,,4,,185,,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,0,,,-,,-,,-,7,,1,,6,,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,2,,,-,3,,,-,59,,13,,119,,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,0,,,-,,-,,-,3,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
TOTAL,2020,5,,-,39,,16,,142,,88,,773,,1305,,3542,,,TOTAL,20200570,
NEVADA,2020,3,,-,3,,,-,1,,,-,23,,,-,43,,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,3,,,-,1,,,-,37,,,-,84,,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,1,,,-,,-,,-,6,,2,,4,,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,12,,,-,17,,,-,55,,,-,84,,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,0,,,-,,-,,-,7,,,-,3,,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,1,,,-,1,,,-,11,,2,,21,,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,3,,,-,2,,12,,26,,25,,52,,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,1,,,-,,-,,-,27,,6,,53,,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,0,,,-,,-,,-,6,,,-,4,,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,2,,,-,1,,11,,14,,24,,21,,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,1,,,-,1,,,-,6,,,-,7,,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,1,,,-,,-,,-,27,,3,,39,,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,2,,,-,,-,,-,11,,,-,15,,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,2,,,-,3,,,-,34,,,-,65,,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,2,,,-,,-,,-,20,,2,,37,,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,2,,,-,,-,,-,19,,5,,43,,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,3,,,-,1,,2,,85,,17,,194,,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,2,,,-,,-,,-,20,,1,,37,,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,1,,,-,,-,,-,7,,,-,2,,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,2,,,-,,-,,-,29,,7,,56,,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,0,,,-,,-,,-,27,,,-,28,,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,4,,,-,1,,,-,19,,,-,38,,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,1,,,-,,-,,-,24,,1,,45,,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,4,,,-,,-,,-,15,,,-,25,,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,3,,,-,3,,,-,21,,,-,43,,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,0,,,-,,-,,-,5,,,-,2,,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,,-,8,,,-,13,,17,,195,,110,,482,,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,,-,2,,,-,,-,4,,28,,20,,57,,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,1,,,-,,-,,-,5,,,-,6,,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,-,1,,,-,,-,2,,19,,7,,24,,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,1,,,-,2,,,-,15,,,-,20,,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,1,,,-,1,,,-,14,,,-,15,,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,0,,,-,,-,,-,3,,,-,7,,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,,-,1,,,-,,-,10,,25,,44,,23,,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,5,,,-,7,,,-,33,,6,,69,,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,0,,,-,,-,,-,10,,2,,5,,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,1,,,-,,-,,-,4,,,-,5,,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,2,,,-,,-,,-,20,,,-,44,,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,3,,,-,2,,4,,62,,18,,140,,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,3,,52,,42,,120,,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,2,,,-,2,,,-,14,,4,,20,,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,0,,,-,1,,,-,23,,9,,23,,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,0,,,-,1,,,-,3,,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,1,,,-,,-,2,,24,,16,,56,,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,,-,3,,,-,2,,12,,107,,76,,238,,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,14,,,-,27,,4,,185,,149,,449,,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,0,,,-,,-,,-,4,,,-,1,,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,6,,,-,6,,3,,86,,39,,141,,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,1,,,-,,-,,-,5,,,-,2,,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,6,,,-,1,,2,,41,,19,,106,,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,0,,,-,,-,,-,23,,6,,36,,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,,-,6,,,-,8,,2,,76,,18,,192,,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,0,,,-,,-,2,,12,,14,,16,,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,1,,,-,1,,,-,14,,,-,15,,,US TERRITORIES,20200363,
US RESIDENTS,2020,4,,-,39,,8,,103,,58,,774,,824,,2791,,,US RESIDENTS,20200401,
NEW HAMPSHIRE,2020,4,,-,1,,,-,,-,,-,3,,,-,4,,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,,-,2,,,-,3,,5,,54,,17,,33,,NEW YORK,,20200411,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,4,,-,13,,,-,28,,1,,85,,56,,265,,,WEST SOUTH CENTRAL,20200443,
NEBRASKA,2020,4,,-,0,,,-,,-,,-,7,,3,,10,,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,4,,-,2,,,-,4,,1,,59,,33,,140,,,EAST SOUTH CENTRAL,20200438,
NORTH DAKOTA,2020,4,,-,0,,,-,,-,,-,3,,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
NEVADA,2020,4,,-,3,,,-,1,,,-,23,,,-,54,,NEVADA,,20200453,POINT (-114.916992 39.283294)
ILLINOIS,2020,4,,-,3,,,-,1,,1,,37,,1,,116,,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,1,,,-,,-,,-,6,,3,,6,,IOWA,,20200421,POINT (-93.500061 42.074659)
TEXAS,2020,4,,-,12,,,-,22,,1,,56,,45,,123,,TEXAS,,20200447,POINT (-99.317341 31.447238)
DISTRICT OF COLUMBIA,2020,4,,-,1,,,-,1,,,-,11,,6,,27,,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
WASHINGTON,2020,4,,-,3,,,-,2,,7,,26,,32,,72,,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,4,,-,1,,,-,,-,,-,27,,15,,80,,,NEW ENGLAND,20200402,
RHODE ISLAND,2020,4,,-,0,,,-,,-,,-,6,,,-,9,,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
OREGON,2020,4,,-,2,,,-,1,,6,,14,,30,,29,,OREGON,,20200461,POINT (-120.605279 43.940449)
DELAWARE,2020,4,,-,1,,,-,1,,,-,6,,,-,8,,DELAWARE,,20200429,POINT (-75.452394 38.994926)
ALABAMA,2020,4,,-,1,,,-,,-,1,,27,,9,,45,,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KANSAS,2020,4,,-,2,,,-,,-,,-,11,,,-,16,,KANSAS,,20200422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,4,,-,2,,,-,3,,,-,34,,,-,82,,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
NEW JERSEY,2020,4,,-,2,,,-,,-,,-,20,,3,,45,,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,4,,-,2,,,-,,-,,-,19,,11,,53,,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,4,,-,3,,,-,3,,2,,85,,31,,262,,,EAST NORTH CENTRAL,20200414,
TENNESSEE,2020,4,,-,2,,,-,,-,,-,20,,4,,45,,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,4,,-,1,,,-,,-,,-,7,,,-,3,,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MARYLAND,2020,4,,-,2,,,-,2,,,-,29,,15,,84,,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,,-,27,,,-,42,,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,4,,-,4,,,-,1,,,-,19,,,-,55,,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
OHIO,2020,4,,-,2,,,-,,-,,-,24,,1,,58,,OHIO,,20200418,POINT (-82.70936 40.415534)
MINNESOTA,2020,4,,-,4,,1,,,-,,-,15,,,-,37,,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
LOUISIANA,2020,4,,-,2,,,-,3,,,-,21,,4,,58,,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
HAWAII,2020,4,,-,0,,,-,,-,,-,5,,,-,2,,HAWAII,,20200460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,4,,-,8,,1,,16,,22,,195,,194,,650,,,SOUTH ATLANTIC,20200428,
PENNSYLVANIA,2020,4,,-,2,,,-,,-,2,,28,,31,,80,,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
UTAH,2020,4,,-,1,,,-,,-,,-,5,,1,,7,,UTAH,,20200455,POINT (-111.678222 39.323779)
COLORADO,2020,4,,-,1,,,-,,-,,-,19,,13,,33,,COLORADO,,20200450,POINT (-105.547832 38.998552)
VERMONT,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200408,POINT (-72.662695 44.075252)
KENTUCKY,2020,4,,-,1,,,-,3,,,-,15,,,-,22,,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,4,,-,1,,,-,1,,,-,14,,,-,29,,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
MAINE,2020,4,,-,0,,,-,,-,,-,3,,,-,9,,MAINE,,20200404,POINT (-69.06137 45.117911)
VIRGINIA,2020,4,,-,1,,,-,,-,9,,25,,53,,31,,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
ARIZONA,2020,4,,-,5,,,-,9,,,-,33,,12,,85,,ARIZONA,,20200449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
WISCONSIN,2020,4,,-,0,,,-,,-,,-,10,,6,,6,,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IDAHO,2020,4,,-,1,,,-,,-,,-,4,,,-,5,,IDAHO,,20200451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,,-,2,,,-,2,,,-,20,,7,,61,,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,,-,3,,,-,3,,1,,48,,31,,180,,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,,-,0,,,-,,-,8,,52,,63,,158,,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,,-,2,,,-,2,,,-,14,,7,,29,,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,,-,0,,,-,1,,,-,24,,20,,28,,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,-,0,,,-,1,,,-,3,,,-,2,,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,,-,0,,,-,,-,,-,2,,,-,2,,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,1,,,-,,-,2,,24,,30,,67,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,,-,4,,,-,3,,15,,107,,114,,316,,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,-,14,,6,,35,,2,,186,,245,,593,,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,0,,,-,,-,,-,4,,1,,4,,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,,-,6,,1,,6,,12,,86,,88,,192,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,,-,1,,,-,,-,,-,5,,1,,2,,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,,-,6,,1,,1,,2,,42,,36,,138,,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,0,,,-,,-,,-,23,,15,,55,,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,,-,6,,,-,10,,,-,76,,38,,241,,,MOUNTAIN,20200448,
INDIANA,2020,4,,-,0,,,-,,-,1,,12,,16,,21,,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,1,,,-,1,,,-,14,,,-,29,,,US TERRITORIES,20200463,
US RESIDENTS,2020,5,,-,39,,16,,140,,88,,770,,1305,,3505,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,1,,,-,,-,,-,3,,2,,5,,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,,-,2,,,-,4,,19,,63,,36,,47,,NEW YORK,,20200511,POINT (-75.59655 42.921241)
PACIFIC,2020,5,,-,14,,12,,46,,22,,214,,452,,903,,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,,-,13,,1,,43,,5,,85,,107,,333,,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,0,,,-,,-,,-,7,,3,,11,,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,3,,,-,4,,1,,59,,46,,183,,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,0,,,-,,-,,-,3,,1,,2,,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,3,,,-,1,,,-,25,,,-,69,,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,3,,,-,1,,,-,35,,3,,136,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,1,,,-,,-,1,,6,,4,,6,,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,12,,,-,36,,5,,56,,85,,167,,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,0,,,-,,-,,-,7,,,-,5,,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,1,,,-,1,,1,,11,,9,,31,,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,-,3,,,-,2,,8,,26,,40,,90,,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,,-,1,,,-,,-,,-,27,,40,,91,,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,0,,,-,,-,,-,8,,,-,11,,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,2,,,-,1,,9,,14,,46,,39,,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,1,,,-,1,,,-,6,,,-,11,,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,2,,,-,,-,1,,27,,14,,54,,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,2,,,-,,-,,-,11,,,-,17,,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,3,,,-,6,,,-,34,,,-,102,,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,2,,,-,,-,,-,20,,4,,54,,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,2,,,-,,-,,-,20,,23,,61,,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,,-,3,,,-,4,,5,,77,,54,,312,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,3,,,-,,-,,-,20,,4,,57,,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,1,,,-,,-,,-,7,,,-,3,,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,2,,,-,3,,,-,29,,31,,98,,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,0,,,-,,-,,-,27,,,-,52,,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,4,,,-,1,,,-,19,,1,,59,,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,,-,2,,,-,,-,,-,24,,10,,70,,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,4,,1,,,-,2,,15,,33,,41,,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,2,,,-,4,,,-,21,,7,,72,,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,0,,,-,,-,,-,5,,,-,7,,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,,-,9,,1,,24,,27,,195,,324,,819,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,2,,,-,1,,6,,28,,47,,103,,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,1,,,-,,-,,-,5,,1,,7,,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,1,,,-,,-,,-,19,,13,,41,,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,1,,,-,3,,,-,15,,,-,31,,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,1,,,-,2,,,-,14,,,-,37,,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,0,,,-,,-,,-,3,,,-,9,,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,1,,,-,1,,16,,25,,69,,39,,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,,-,5,,1,,12,,,-,33,,21,,112,,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,0,,,-,,-,,-,10,,10,,9,,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,1,,,-,,-,,-,4,,,-,5,,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,2,,,-,3,,,-,20,,8,,71,,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,3,,,-,3,,1,,48,,56,,223,,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,0,,,-,,-,,-,52,,63,,190,,,NEW YORK CITY,20200512,
