District,Facility Number,Address,Hours Requiring Payment,Payment Options ,Floors,Clearance Height (Feet),Clearance Height (Inches),Facility Name,Total Capacity,ADA Spaces,ADA Van Spaces,Bike Spaces ,Car Spaces ,Motorcycle Spaces ,Motorcycle Area,Other Information,Latitude,Longitude,5 Minute Limit,30 Minute Limit,1 Hour Limit,2 Hour Limit,3 Hour Limit,4 Hour Limit,9 Hour Limit,12 Hour Limit,15 Hour Limit,Parking Convenience Stickers,Carpool,Restricted,Inactive,Additional Information,Last Update,Location
Wheaton,LOT 34,2510 Ennalls Avenue,9:00AM-6:00PM Monday through Saturday,Coins,0,0,0,Ennalls Lot,41,6,4,0,31,0,0,,39.03972,-77.05323,0,0,0,30,0,0,0,0,0,0,0,30,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (39.03972 -77.05323)
Bethesda,GAR 31,7171 Woodmont Avenue,7:00AM-10:00PM Monday through Friday,"Bills, Credit Cards",4,8,2,Capital Crescent Garage,1027,18,7,11,963,25,0,,38.98031,-77.094971,0,0,0,0,0,6,0,0,955,0,0,961,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98031 -77.094971)
Bethesda,GAR 42,4720 Cheltenham Drive (Cashier Office Location),7:00AM-10:00PM Monday through Friday,"Credit Cards, Coins",4,8,2,Cheltenham Garage,357,6,2,5,337,0,7,,38.98813,-77.09394,0,0,0,37,0,0,0,0,298,0,0,335,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98813 -77.09394)
Wheaton,GAR 45,11304 Amhert Avenue (Fern Street),9:00AM-6:00PM Monday through Friday,"Bills, Credit Cards",6,7,2,Amherst Garage,641,16,0,0,617,8,0,,39.04011,-77.04886,0,0,0,10,0,2,602,0,0,0,0,614,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (39.04011 -77.04886)
Bethesda,LOT 25,4707 Highland Avenue (Maple Avenue),7:00AM-10:00PM Monday through Friday,"Bills, Credit Cards, Coins",0,0,0,Maple Avenue,133,2,3,0,124,4,0,,38.99145,-77.09492,0,0,0,33,0,0,0,0,76,14,0,109,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99145 -77.09492)
Bethesda,GAR 36,4907 Del Ray Avenue (Auburn Avenue),7:00AM-10:00PM Monday through Friday,"Bills, Credit Cards, Coins",7,7,6,Del Ray Garage,752,13,5,0,726,8,0,,38.98951,-77.09968,0,0,17,73,0,2,0,0,631,0,0,723,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98951 -77.09968)
Wheaton,LOT 13,11219 Grandview Avenue,9:00AM-6:00PM Monday through Saturday,Coins,0,0,0,Wheaton Market Place Lot,45,1,3,0,40,1,0,,39.03933,-77.05211,0,0,0,21,0,0,0,0,0,0,0,21,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (39.03933 -77.05211)
Silver Spring,GAR 61,801 Ellsworth Drive,7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards",7,8,2,Town Square Garage,1297,10,14,4,1253,0,16,,38.99774,-77.02534,0,0,0,0,0,2,0,1270,0,0,0,1272,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99774 -77.02534)
Silver Spring,LOT 18,938 Philadelphia Avenue,7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Gist - Philadelphia Lot,15,0,1,0,14,0,0,,38.98961,-77.02624,0,0,0,7,0,0,0,6,0,0,0,13,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98961 -77.02624)
Silver Spring,LOT 29,811 Easley Street (834 Bonifant Street),7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards, Coins",0,0,0,Bonifant - Easley Lot,79,2,5,0,70,0,2,,38.99466,-77.02321,0,0,0,40,0,2,0,26,0,0,0,68,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99466 -77.02321)
Bethesda,LOT 41,4538 Middleton Lane,7:00AM-10:00PM Monday through Friday,"Credit Cards, Coins",0,0,0,Middleton Lane,11,0,1,0,10,0,0,,38.98668,-77.09394,0,0,0,9,0,0,0,0,0,0,0,9,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98668 -77.09394)
Bethesda,LOT 81,7400 Arlington Road,7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Lot 81,120,5,0,0,113,2,0,,38.98401,-77.09885,0,0,0,0,92,0,0,0,0,0,0,92,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98401 -77.09885)
Silver Spring,GAR 05,1101 Bonifant Street,7:00AM-7:00PM Monday through Friday,Coins,4,6,7,Bonifant-Dixon Garage,606,11,0,0,580,15,0,,38.99375,-77.02836,0,0,0,123,0,2,0,241,0,198,9,366,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99375 -77.02836)
Bethesda,LOT 44,4704 West Virginia Avenue,7:00AM-10:00PM Monday through Friday,Coins,0,0,0,West Virginia Avenue,56,1,2,0,51,2,0,,38.99045,-77.09467,0,0,0,23,13,0,0,0,15,0,0,51,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99045 -77.09467)
Silver Spring,GAR 58,1315 East-West Highway,7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards",8,7,2,NOAA Garage,1176,24,0,10,1132,4,6,,38.99272,-77.03094,0,0,0,0,48,0,0,714,0,395,41,762,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99272 -77.03094)
Silver Spring,LOT 09,8040 Kennett Street,7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Kennett Street Garage Lot,67,0,0,0,67,0,0,,38.98816,-77.02877,0,0,0,0,0,0,0,0,0,0,0,0,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98816 -77.02877)
Bethesda,LOT 28,4854 Cordell Avenue,7:00AM-10:00PM Monday through Friday,Coins,0,0,0,Cordell Avenue,21,0,2,0,19,0,0,,38.98995,-77.09734,0,0,0,19,0,0,0,0,0,0,0,19,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.98995 -77.09734)
Silver Spring,GAR 60,921 Wayne Avenue,7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards",8,8,2,Wayne Avenue Garage,1710,21,8,0,1665,0,16,,38.99532,-77.02565,0,0,0,0,0,2,0,1682,0,0,0,1684,false,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,12/11/2019,POINT (38.99532 -77.02565)
