the_geom,OBJECTID,Zoning Classification,Zoning Description,Last Update Date,Last Editor,SHAPE_Length,SHAPE_Area,Zoning Number,Zoning Year,Rec Number,Ordinance Number,Zoning Number 1,Zoning Number 2,Ordinance Number 2,Zoning Number 3,Zoning Number 4,Zoning Year 4,Rec Number 4,Ordinance Number 4,HYPERLINK,ZONENUM1,ZONEYEAR1,ORDNUM1,ZONENUM2,ZONEYEAR2,ZONENUM3,ZONEYEAR3,ORDNUM3
"MULTIPOLYGON (((-90.118736000418 29.973606000227, -90.118945000656 29.9734109998, -90.119643000614 29.973970999738, -90.119000000907 29.974567000578, -90.1185360013 29.974193999041, -90.11862300044 29.974112999701, -90.118710001377 29.974031999517, -90.118797001416 29.97395199999, -90.118882000906 29.973870999675, -90.118967000397 29.973792999135, -90.118736000418 29.973606000227)))",374,RPC,,12/20/2013 12:00:00 AM +0000,BRN,421.00477193843278,8602.4529362559933,103,1982,,9858,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.105044766393 29.935036739853, -90.104950654392 29.935043987433, -90.104855817451 29.935051854677, -90.104823249929 29.934723984094, -90.10481421108 29.934642009078, -90.104805889986 29.934560039445, -90.104902160638 29.934552186953, -90.104996271741 29.934544939338, -90.105091107784 29.934537073611, -90.105185218886 29.934529824437, -90.105192824023 29.93461178709, -90.105201145118 29.934693755902, -90.105233706352 29.93502225092, -90.10514032019 29.935028880394, -90.105044766393 29.935036739853)))",81,CU,,12/20/2013 12:00:00 AM +0000,BRN,211.54998919474178,2680.6607828087331,99,2011,530684,24712,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.012022584687 29.920045322509, -90.011803534098 29.920220494179, -90.011657254234 29.920359299285, -90.011544099746 29.920470261168, -90.011442940462 29.920593986282, -90.011386666399 29.920670768028, -90.01134159882 29.920732259095, -90.01083291162 29.920393027687, -90.011643436348 29.919664145193, -90.011687336118 29.919708970331, -90.011779347858 29.919805539893, -90.011944346816 29.919972231578, -90.012022584687 29.920045322509)))",309,CU,,12/20/2013 12:00:00 AM +0000,BRN,382.97925740964729,7953.2800572136457,28,1989,,13388,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.12121995357 29.921994153627, -90.121280697649 29.921837807151, -90.121490951037 29.921897881269, -90.121430215042 29.922053602455, -90.12121995357 29.921994153627)))",114,CU,,12/20/2013 12:00:00 AM +0000,BRN,91.566196756379128,520.97343297555733,24,2010,,24005,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.066760203918 29.949758635361, -90.066760913587 29.949759267388, -90.067233968212 29.94992885342, -90.067235396533 29.94992949245, -90.067227956686 29.949950050389, -90.067207075347 29.950011735855, -90.067205647026 29.950011096825, -90.06716847474 29.949998862633, -90.067100559409 29.949976954258, -90.067019777509 29.94995054698, -90.067019052569 29.949951164995, -90.066991939617 29.949994663405, -90.06698979444 29.94999401737, -90.06688196247 29.949949845681, -90.066721988687 29.949885168954, -90.066722729797 29.94988330012, -90.066760203918 29.949758635361)))",256,CU,,12/20/2013 12:00:00 AM +0000,BRN,147.0438577922402,850.02285299262849,33,1998,,18815,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-89.996982069427 30.041415080181, -89.997091894759 30.041369310672, -89.997244277777 30.04163278231, -89.997073813469 30.041699816176, -89.996922097899 30.041440102267, -89.996982069427 30.041415080181)))",754,CU,,12/20/2013 12:00:00 AM +0000,BRN,117.13733869372004,787.10967155382059,97,1988,,13251,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.009246648525 29.961529964694, -90.00928209964 29.961455306458, -90.009602218783 29.961569175247, -90.009617935707 29.961574959312, -90.009581775822 29.961648985507, -90.009541918471 29.961731100921, -90.00953963136 29.961730328105, -90.009539605309 29.961730319544, -90.009536200694 29.961729168492, -90.009208226682 29.961612095771, -90.009246648525 29.961529964694)))",773,CU,,12/20/2013 12:00:00 AM +0000,BRN,124.128004457104,877.99554543692989,58,1987,,12282,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.017716859746 29.917744616536, -90.018575328459 29.917783205892, -90.018566127016 29.91793689668, -90.018550863741 29.918333077288, -90.018198743912 29.918315803972, -90.017703183794 29.918292094717, -90.017699513278 29.91818953622, -90.017716859746 29.917744616536)))",803,CU,,12/20/2013 12:00:00 AM +0000,BRN,331.23441641247439,6716.4321140114689,58,2009,,23715,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.01849865186 29.928071460281, -90.018607018327 29.926437203235, -90.01959459471 29.926487078824, -90.01965770046 29.926490834499, -90.019730810748 29.926497815662, -90.019812491862 29.926508008299, -90.019906280469 29.926525198447, -90.019999292932 29.926546756195, -90.020106559861 29.926575957633, -90.020175192946 29.926596021355, -90.020364487739 29.926663550217, -90.02036228507 29.926667278636, -90.020313040324 29.926755555475, -90.02026736728 29.926845118377, -90.020223127049 29.926934695213, -90.020181040978 29.927024293767, -90.020139647508 29.927115775516, -90.02010113224 29.927206660045, -90.020074419937 29.927273281502, -90.020049141345 29.927339918485, -90.020026717599 29.927407832995, -90.020005728462 29.92747576303, -90.019986174834 29.927543707031, -90.019968766382 29.927612297167, -90.019954210979 29.927682167159, -90.019933586559 29.927776980409, -90.019921249096 29.927841870814, -90.019910330972 29.927908025508, -90.019900129704 29.927974187164, -90.019891356757 29.928040988725, -90.019884744258 29.928107186105, -90.019878857598 29.92817276607, -90.01987438848 29.928239611874, -90.01987136475 29.928305844156, -90.019869594171 29.928385843824, -90.019869975955 29.92846586367, -90.019870306535 29.928495248277, -90.018474516823 29.928432544393, -90.01849865186 29.928071460281)))",360,RPC,,12/20/2013 12:00:00 AM +0000,BRN,855.68436909936361,42589.318668820495,08,1978,,6852,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,12,1972,4924,0,0,0,0,0
"MULTIPOLYGON (((-90.073577232046 29.956544793099, -90.073641306181 29.956587290061, -90.073704659866 29.95662978, -90.073768733102 29.956672276925, -90.073621623194 29.956838401733, -90.073606320394 29.95685638362, -90.07355971939 29.956908448109, -90.073508731014 29.956966721856, -90.073341947104 29.95715578733, -90.073250178808 29.957259929198, -90.073148217328 29.957375225521, -90.073013665868 29.957285795173, -90.072812201598 29.95715133857, -90.072914841305 29.957039174647, -90.073008749388 29.956936303514, -90.073181993084 29.956747300664, -90.073233683044 29.956690283748, -90.073284646267 29.956633885551, -90.073298473136 29.956619014503, -90.073445521059 29.956457890717, -90.073449086473 29.956459799121, -90.07351315881 29.956502296897, -90.073577232046 29.956544793099)))",236,CU,,12/20/2013 12:00:00 AM +0000,BRN,319.82568940457668,5255.348818015239,16,2005,,"21,898",,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
