MAKE,MODEL,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
COLLINS,NEXBUS,14,64791.732941,5926.8,5848.766382763505753,81882.729358689080546
JLG,30AM-DC,1,203.989644,No-DATA,1.305433870922718,1.305433870922718
GENIE,GS3232,1,291.723986,No-DATA,5.931630370517412,5.931630370517412
UD NISSAN,2000,1,208.061325,535.6,7812.001234258710283,7812.001234258710283
JEEP,CHEROKEE,3,4703.449656,329.7,4010.175559681177853,12030.526679043533559
JOHN DEERE,410L,7,12110.63411,1442.6,2542.63842501290158,17798.468975090311063
TAILIFT,FG-35P,1,1774.934095,327.6,699.138278667786419,699.138278667786419
TOYOTA,7FGU35,2,6478.037567,206.9,900.90045272474756,1801.80090544949512
ALTEC,AT37GW,2,8636.69546,2.7,132.732066318058042,265.464132636116083
TELEDYNE,TB625,1,,No-DATA,0,0
SOUTHWEST,BF2086252E,2,,No-DATA,0,0
SDP,TL37M,1,4595.001398,No-DATA,24.968069126735132,24.968069126735132
RHINO,S10,1,144.9125,No-DATA,0,0
CUSHMAN,HAULER 1200X,12,,4.5,0,0
FORD,555,3,2402.69103,No-DATA,118.730240210148053,356.190720630444159
PACE AMERI,WS46SALD,1,97.009075,No-DATA,0,0
TRAILSTAR,U-1813,1,594.7951,No-DATA,0,0
JOHN DEERE,MH60,1,,No-DATA,0,0
BROOKS BRO,PTU 92-8KE FT,15,3566.077122,No-DATA,0,0
LODAL,N/A,2,474.799289,No-DATA,0,0
BROCE,RJ350,2,11390.381518,51.5,602.688689355135992,1205.377378710271985
YAMAHA,VX1050B-SA,1,59.12,No-DATA,0,0
BURN BOSS,T22,1,840.287828,No-DATA,9.068485115320753,9.068485115320753
JOHN DEERE,350GLC,1,874.096122,687.2,126.291182402733881,126.291182402733881
KAWASAKI,4010,2,2019.250286,No-DATA,938.891968112829464,1877.783936225658928
TRIVAN,SHOWER TRLR,2,1500.349775,No-DATA,0.296298835361667,0.592597670723333
JOHN DEERE,4105,1,719.220686,16.6,3250.621982390435299,3250.621982390435299
BOBCAT,MISC,2,343.154622,No-DATA,0.276283974930208,0.552567949860416
KUSTOM SIG,ST2,1,133.545512,No-DATA,0,0
YAMAHA,F90XB,1,229.907322,20,4.448951832816922,4.448951832816922
UD,3300,11,256371.992728,30365,15890.909347872846781,174800.00282660131459
DODGE,SPRNTR 2500,13,87066.36554,3346.6,5557.514511557780946,72247.688650251152304
GEM,ELXD,36,28112.637829,No-DATA,187.118401816025622,6736.262465376922376
IHC,7600SFA,14,194204.960416,29802.05,7746.482992392551101,108450.761893495715411
HONDA,TRX500FMD,1,521.95415,No-DATA,87.353174100108381,87.353174100108381
FORD,E142,1,719.511586,190.2,3039.592235894219431,3039.592235894219431
HINO,338,2,10542.740457,1662.6,6558.8268485691708,13117.6536971383416
DOOSAN,G45S-LP,1,59.12,101.3,384.423920308719779,384.423920308719779
VAC-TRON,VT-19LP,2,2206.711803,6.5,15.34361721558612,30.68723443117224
WELLS CARG,WHD716T3,2,1325.2136,No-DATA,0,0
METRO FIRE,SPARTAN GLADIATOR,4,25153.579084,8626,12761.68728176445976,51046.749127057839042
FORD,E450,18,39541.009838,7425.1,2403.603626245486335,43264.865272418754021
JOHN DEERE,670C,1,2484.528555,90.3,161.604905340552991,161.604905340552991
FORD,F550,88,765712.927434,87713.6,8902.633160812593645,783431.718151508240769
WACKER,RT56-SC,4,4971.848788,22,507.309283102503686,2029.237132410014745
TEXAS BRAG,18+5 OTWTD,1,8766.094331,No-DATA,0,0
CARGO,VVH58SA,1,99.138,No-DATA,0,0
ALTEC,DB41B,1,43183.028622,15.3,31.365693247293837,31.365693247293837
REDI HAUL,RH419RTE,1,701.404023,No-DATA,0,0
BOBCAT,S750,4,25472.963132,667.6,8065.741683227641794,32262.966732910567177
KUBOTA TRA,L2600DT-R,1,2599.118645,70.1,589.446484970976267,589.446484970976267
JOHN DEERE,310G,2,9782.738514,197.9,879.572038207454851,1759.144076414909701
BELSHE,WB-2EP,1,725.320578,No-DATA,0,0
WELLS CARG,FT6121,1,392.716889,No-DATA,0,0
YAMAHA,F2.5SMHA,1,277.1596,No-DATA,0,0
JOHN DEERE,310LEP,1,607.471286,291.7,358.860019605833198,358.860019605833198
MULTIQUIP,V304EH,18,20414.82057,43,2693.384197285415787,48480.915551137484164
VERMEER,RT100,1,163.696711,5.1,45.61351127282621,45.61351127282621
JOHN DEERE,544H,2,15470.322419,411.5,1003.542854364957373,2007.085708729914747
CLARK,UNKNOWN,1,365.366606,No-DATA,30.884532553774886,30.884532553774886
SPARTAN,GA41M 2142,1,25301.463012,1144.4,32565.756009039984715,32565.756009039984715
PARKER,TL8314,1,1247.185517,No-DATA,0,0
JOHN DEERE,9860M,1,740.863022,3.7,2401.860996149494374,2401.860996149494374
JOHN DEERE,444K,2,11823.730459,853.7,1679.360304873021387,3358.720609746042775
CLIFTON M.,CM-9,1,1879.0262,No-DATA,0,0
TX TRAILER,CAND FB,1,138.812444,No-DATA,0,0
CHEVROLET,K3500,1,1969.034584,815,6230.413262202365126,6230.413262202365126
IHC,F1954,4,12511.43696,176.8,1360.188758297985756,5440.755033191943024
KUBOTA TRA,M5030,1,4327.434611,No-DATA,42.386631765373687,42.386631765373687
JOHN DEERE,320E,2,1719.991255,68.7,6148.972373233025995,12297.94474646605199
