School_Year,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs
2016-2017,01001,Comprehensive Kids Devel. Scho,Other Religion,School,101 Norfolk Street,Manhattan,NY,10002,-73.9872710000,40.7187910000,Yes,No,No,No,No,No,No
2016-2017,01569,BARD HS EARLY COLLEGE,Public,School,525 EAST HOUSTON STREET,Manhattan,NY,10002,-73.9754380000,40.7187610000,Yes,No,Yes,No,No,No,No
2016-2017,01600,SATELLITE ACADEMY,Public,School,198 FORSYTH STREET,Manhattan,NY,10002,-73.9906350000,40.7224910000,No,No,Yes,No,No,No,No
2016-2017,01616,COOK CTR GRAMMAR SCHOOL,Nonsectarian,School,219 STANTON STREET,Manhattan,NY,10002,-73.9821710000,40.7194420000,Yes,No,Yes,No,Yes,No,No
2016-2017,01657,MANHATTAN CHARTER SCHOOL,Charter,School,100 ATTORNEY STREET,Manhattan,NY,10002,-73.9843650000,40.7183460000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,01658,GIRLS PREP CHARTER SCH NY ELEM,Charter,School,442 EAST HOUSTON STREET,Manhattan,NY,10002,-73.9778110000,40.7197300000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,01659,GIRLS PREP CHARTER SCH NY MS,Charter,School,420 EAST 12TH STREET,Manhattan,NY,10009,-73.9829490000,40.7296670000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,01817,BETH JACOB SCHOOL,Yeshiva,School,142 BROOME STREET,Manhattan,NY,10002,-73.9841090000,40.7163550000,No,Yes,Yes,No,Yes,No,Yes
2016-2017,01854,LOWER EAST SIDE PREP,Public,School,145 STANTON STREET,Manhattan,NY,10002,-73.9856880000,40.7205110000,No,No,Yes,No,Yes,No,No
2016-2017,01867,Thompkins Square Middle School,Public,School,600 EAST 6TH STREET,Manhattan,NY,10009,-73.9813380000,40.7242720000,Yes,Yes,Yes,No,No,No,No
2016-2017,02003,PS 3,Public,School,490 HUDSON STREET,Manhattan,NY,10014,-74.0063670000,40.7325800000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02004,DE LA SALLE ACADEMY,Nonsectarian,School,332 WEST 43RD STREET,Manhattan,NY,10036,-73.9904030000,40.7582750000,No,No,Yes,No,No,No,No
2016-2017,02005,P751M @ HARVEY MILK HS,Public,School,2-10 ASTOR PLACE,Manhattan,NY,10011,-73.9926520000,40.7299630000,No,No,Yes,No,No,No,No
2016-2017,02006,PS 6,Public,School,45 EAST 81ST STREET,Manhattan,NY,10028,-73.9606760000,40.7775270000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,01137,PS 137,Public,School,293 EAST BROADWAY,Manhattan,NY,10002,-73.9837310000,40.7144920000,Yes,No,Yes,No,Yes,No,No
2016-2017,02007,RESTART @CO-OP TECH-,Public,School,321 EAST 96TH STREET 4TH FLOOR,Manhattan,NY,10128,-73.9463360000,40.7840240000,Yes,No,Yes,No,No,No,No
2016-2017,02008,OFFICE OF ACCOUNTABILITY,Public,Office,52 CHAMBERS STREET ROOM 213,Manhattan,NY,10007,-74.0056230000,40.7137470000,No,No,No,No,No,No,No
2016-2017,02009,Office of District Planning,Public,Office,52 Chambers Street RM 219,Manhattan,NY,10007,-74.0056230000,40.7137470000,No,No,No,No,No,No,No
2016-2017,02010,FAMILY WELCOME CENTER,Public,Office,333 7TH AVENUE   7TH FLOOR,Manhattan,NY,10002,-73.9929510000,40.7476210000,No,No,No,No,No,No,No
2016-2017,02011,PS 11,Public,School,320 WEST 21ST STREET,Manhattan,NY,10011,-74.0003000000,40.7442820000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02012,OFFICE OF LIBRARY SERVICES,Public,Office,333 SEVENTH AVENUE  ROOM 801,Manhattan,NY,10007,-73.9929510000,40.7476210000,No,No,No,No,No,No,No
2016-2017,02013,RESTART@EUPHRASIAN RESIDENCE,Public,School,337 EAST 17TH STREET,Manhattan,NY,10003,-73.9822550000,40.7338050000,No,No,No,No,No,No,No
2016-2017,01345,COLL.ACAD.SCI-TECH-LANG.ARTS,Public,School,220 HENRY STREET,Manhattan,NY,10002,-73.9863310000,40.7136080000,No,No,Yes,No,No,No,No
2016-2017,02014,TREVOR DAY SCHOOL,Nonsectarian,School,312 EAST 95TH STREET,Manhattan,NY,10128,-73.9470940000,40.7832670000,No,No,Yes,No,No,No,No
2016-2017,02016,Quad Preparatory School,Nonsectarian,School,25 Pine Street,Manhattan,NY,10005,-74.0099620000,40.7074330000,Yes,No,Yes,No,No,No,No
2016-2017,02017,OFFICE OF EQUITY & ACCESS,Public,Office,52 CHAMBERS STREET  ROOM 215,Manhattan,NY,10007,-74.0056230000,40.7137470000,No,No,No,No,No,No,No
2016-2017,02018,OFFICE OF E ADULT EDUCATION,Public,Office,500 EIGHT AVENUE  ROOM 1018,Manhattan,NY,10018,-73.9928140000,40.7529050000,No,No,No,No,No,No,No
2016-2017,02019,BEACON SCHOOL,Public,School,522 WEST 44TH STREET,Manhattan,NY,10036,-73.9958460000,40.7613830000,Yes,No,Yes,No,No,No,No
2016-2017,02020,DIV OF FAM & COMM ENGAGEMENT,Public,Office,100 GOLD STREET,Manhattan,NY,10038,-74.0035580000,40.7105180000,No,No,Yes,No,No,No,No
2016-2017,02021,Success Academy Midtown West,Charter,School,"439 West 49th Street, 3rd Floor",Manhattan,NY,10019,-73.9905410000,40.7634360000,No,No,Yes,No,No,No,No
2016-2017,02022,P2G @ CONVENANT HOUSE,Public,School,460 WEST 41ST STREET,Manhattan,NY,10036,-73.9951630000,40.7585840000,No,No,Yes,No,No,No,No
2016-2017,02023,P751M @ NYU WEINSTEIN HALL,Public,School,5-11 UNIVERSITY PLACE,Manhattan,NY,10011,-73.9949690000,40.7313160000,Yes,No,Yes,No,No,No,No
2016-2017,02024,SEO - Sponsors for Educational,Nonsectarian,Office,"55 Exchange Place, Suite 601",Manhattan,NY,10005,-74.0109070000,40.7061860000,No,No,Yes,No,No,No,No
2016-2017,02029,Fusion Academy,Nonsectarian,School,450 Park Avenue South,Manhattan,NY,10016,-73.9829770000,40.7448500000,Yes,No,No,No,No,No,No
2016-2017,02030,THE NEW YORK INTERNATIONAL SCH,Nonsectarian,School,4 East 90th Street,Manhattan,NY,10128,-73.9583070000,40.7838950000,No,No,Yes,No,No,No,No
2016-2017,02031,THE SHEFA SCHOOL,Yeshiva,School,40 East 29th Street,Manhattan,NY,10016,-73.9848300000,40.7443560000,Yes,Yes,Yes,No,No,No,No
2016-2017,02032,P094M@ YMCA,Public,School,122 HENRY STREET,Manhattan,NY,10002,-73.9913370000,40.7131940000,No,No,No,No,No,No,No
2016-2017,02033,PS 33,Public,School,281 9TH AVENUE,Manhattan,NY,10001,-73.9997380000,40.7488490000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02034,OFF OF ARTS &  SPECIAL PROJECT,Public,Office,52 CHAMBERS STREET ROOM 113,Manhattan,NY,10007,-74.0056230000,40.7137470000,No,No,Yes,No,No,No,No
2016-2017,02035,P035M @ M912,Public,School,522 WEST 44TH STREET,Manhattan,NY,10019,-73.9958460000,40.7613830000,Yes,No,Yes,No,No,No,No
2016-2017,02036,NYC Charter School of the Arts,Charter,School,25 Pine Street,Manhattan,NY,10005,-74.0099620000,40.7074330000,Yes,Yes,Yes,No,No,No,No
2016-2017,02037,ATLAS Foundation for Autism,Nonsectarian,School,"252 West 29th Street, Floor 3",Manhattan,NY,10001,-73.9944390000,40.7484030000,Yes,No,Yes,No,No,No,No
2016-2017,02038,THE WINDWARD SCHOOL,Nonsectarian,School,212 East 93rd Street,Manhattan,NY,10128,-73.9502190000,40.7830340000,Yes,Yes,Yes,No,No,No,No
2016-2017,02039,Portfolio School,Nonsectarian,School,27 North Moore Street,Manhattan,NY,10013,-74.0074860000,40.7198550000,No,No,Yes,No,No,No,No
2016-2017,02040,PS 40,Public,School,320 EAST 20th STREET,Manhattan,NY,10003,-73.9817200000,40.7356920000,No,No,Yes,No,Yes,No,No
2016-2017,02041,PS 41,Public,School,116 WEST 11TH STREET,Manhattan,NY,10011,-73.9990600000,40.7356210000,No,Yes,Yes,No,Yes,No,No
2016-2017,02042,PS 42,Public,School,71 HESTER STREET,Manhattan,NY,10002,-73.9908540000,40.7159760000,No,Yes,Yes,No,Yes,No,No
2016-2017,02043,ALTERNATIVE EDUCATION COMPLEX,Public,Office,269 WEST 35TH STREET  ROOM 1018,Manhattan,NY,10018,-73.9918710000,40.7524860000,No,No,Yes,No,No,No,No
2016-2017,02047,47 AMER.SIGN LANG.& ENGL. SCH.,Public,School,223 EAST 23RD STREET,Manhattan,NY,10010,-73.9824210000,40.7386220000,Yes,No,Yes,No,Yes,No,No
2016-2017,02051,PS 51-THE ELIAS HOWE SCHOOL,Public,School,525 WEST 44TH STREET,Manhattan,NY,10036,-73.9957590000,40.7615410000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02059,PS 59,Public,School,233 EAST 56TH STREET,Manhattan,NY,10022,-73.9671410000,40.7593030000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02089,PS 89,Public,School,201 WARREN STREET,Manhattan,NY,10282,-74.0135020000,40.7165520000,Yes,No,Yes,No,Yes,No,No
2016-2017,02104,MS 104,Public,School,330 EAST 21ST STREET,Manhattan,NY,10010,-73.9807240000,40.7360350000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02111,PS 111,Public,School,440 WEST 53RD STREET,Manhattan,NY,10019,-73.9888530000,40.7658040000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02116,PS 116,Public,School,210 EAST 33RD STREET,Manhattan,NY,10016,-73.9781640000,40.7447720000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02126,PS 126/MANHATTAN ACAD OF TECH,Public,School,80 CATHERINE STREET,Manhattan,NY,10038,-73.9968410000,40.7111740000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02130,PS 130,Public,School,143 BAXTER STREET,Manhattan,NY,10013,-73.9983490000,40.7188670000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02131,IS 131,Public,School,100 HESTER STREET,Manhattan,NY,10002,-73.9931260000,40.7164800000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02135,U.A. SCH EMERG MANAGEMENT HS,Public,School,411 PEARL STREET,Manhattan,NY,10038,-74.0009500000,40.7114280000,Yes,No,Yes,No,No,No,No
2016-2017,02138,P721M @ DISTRICT 75,Public,School,400 1ST AVENUE,Manhattan,NY,10010,-73.9782140000,40.7370700000,Yes,No,Yes,No,Yes,No,No
2016-2017,02139,BUILD.ARTS & CRAFTMANSHIP HS,Public,School,439 WEST 49TH STREET,Manhattan,NY,10019,-73.9905410000,40.7634360000,Yes,No,Yes,No,No,No,No
2016-2017,02150,PS 150,Public,School,334 GREENWICH STREET,Manhattan,NY,10013,-74.0106200000,40.7182280000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02151,YORKVILLE COMM SCH PS 151,Public,School,421 EAST 88TH STREET,Manhattan,NY,10128,-73.9477160000,40.7779810000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02158,PS 158,Public,School,1458 YORK AVENUE,Manhattan,NY,10021,-73.9510450000,40.7703810000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02167,JHS 167,Public,School,220 EAST 76TH STREET,Manhattan,NY,10021,-73.9581230000,40.7719830000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02169,P169M @ P169M,Public,School,110 EAST 88TH STREET,Manhattan,NY,10028,-73.9557310000,40.7811650000,Yes,Yes,Yes,No,Yes,Yes,No
2016-2017,02170,SUCCESS ACADEMY HELL'S KITCHEN,Charter,School,439 WEST 49TH STREET,Manhattan,NY,10017,-73.9905410000,40.7634360000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02174,SUCCESS ACADEMY UNION SQUARE,Charter,School,40 IRVING PLACE,Manhattan,NY,10003,-73.9875440000,40.7354910000,No,Yes,Yes,No,Yes,No,No
2016-2017,02177,YORKVILLE EAST MIDDLE SCHOOL,Public,School,1458 YORK AVENUE,Manhattan,NY,10075,-73.9510450000,40.7703810000,Yes,No,Yes,No,No,No,No
2016-2017,02183,PS 183,Public,School,419 EAST 66TH STREET,Manhattan,NY,10021,-73.9581180000,40.7638090000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02198,PS 198,Public,School,1700 3RD AVENUE,Manhattan,NY,10128,-73.9497010000,40.7848610000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02217,IS 217,Public,School,"645 MAIN STREET, ROOSEVELT ISLAND",Manhattan,NY,10044,-73.9480010000,40.7639360000,No,Yes,Yes,No,Yes,No,No
2016-2017,02260,THE CLINTON SCH WRITERS-ARTIST,Public,School,10 EAST 15TH STREET,Manhattan,NY,10003,-73.9927920000,40.7364570000,No,No,Yes,No,No,No,No
2016-2017,02267,PS 267,Public,School,213 EAST 63RD STREET,Manhattan,NY,10065,-73.9641870000,40.7639150000,No,Yes,Yes,No,Yes,No,No
2016-2017,02280,MAN EARLY COLL SCH FOR ADV.,Public,School,411 PEARL STREET,Manhattan,NY,10038,-74.0009500000,40.7114280000,Yes,No,Yes,No,No,No,No
2016-2017,02281,PS 281 THE RIVER SCHOOL,Public,School,425 EAST 35TH STREET,Manhattan,NY,10016,-73.9725410000,40.7443470000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02282,URBAN ASSEMBLY MAKER ACADEMY,Public,School,411 PEARL STREET,Manhattan,NY,10038,-74.0009500000,40.7114280000,Yes,No,Yes,No,No,No,No
2016-2017,02289,IS 289,Public,School,201 WARREN STREET,Manhattan,NY,10282,-74.0135020000,40.7165520000,No,No,Yes,No,No,No,No
2016-2017,02300,VANGUARD HS,Public,School,317 E 67 ST,Manhattan,NY,10021,-73.9600200000,40.7654290000,Yes,No,Yes,No,No,No,No
2016-2017,02305,URBAN ASSEMBLY GOVERN. & LAW,Public,School,350 GRAND STREET,Manhattan,NY,10002,-73.9893030000,40.7168500000,No,No,Yes,No,No,No,No
2016-2017,02310,P138M @ PARK WEST HS,Public,School,525 West 50th Street,Manhattan,NY,10019,-73.9926340000,40.7651370000,Yes,No,Yes,No,Yes,No,No
2016-2017,02312,NEW YORK CITY LAB JHS,Public,School,333 WEST 17TH STREET,Manhattan,NY,10011,-74.0021250000,40.7421840000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02313,THE JAMES BALDWIN HS,Public,School,351 WEST 18TH STREET,Manhattan,NY,10011,-74.0020690000,40.7429250000,No,No,Yes,No,No,No,No
2016-2017,02316,URBAN ASSEMBLY BUS YOUNG WOMEN,Public,School,81 NEW STREET,Manhattan,NY,10004,-74.0126190000,40.7052640000,No,No,Yes,No,No,No,No
2016-2017,02325,PS 234(INDEPENDENCE SCHOOL),Public,School,292 GREENWICH STREET,Manhattan,NY,10007,-74.0111360000,40.7160220000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02340,SIXTH AVENUE ELEMENTARY SCH,Public,School,590 AVENUE OF THE AMERICAS,Manhattan,NY,10011,-73.9954430000,40.7391020000,Yes,No,Yes,No,No,No,No
2016-2017,02343,THE PECK SLIP SCHOOL,Public,School,1 PECK SLIP,Manhattan,NY,10019,-74.0023280000,40.7088060000,No,Yes,Yes,No,No,No,No
2016-2017,02347,THE ASL & ENGLISH LOWER SCH,Public,School,223 EAST 23RD STREET,Manhattan,NY,10010,-73.9824210000,40.7386220000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02350,H.S. OF ECONOMICS & FINANCE,Public,School,100 TRINITY PLACE,Manhattan,NY,10006,-74.0121110000,40.7092300000,Yes,No,Yes,No,No,No,No
2016-2017,02351,SUCCESS ACAD HS LIBERAL ARTS,Charter,School,111 EAST 33RD STREET,Manhattan,NY,10016,-73.9812430000,40.7462660000,No,No,Yes,No,No,No,No
2016-2017,02358,MANHATTAN VILLAGE ACADEMY,Public,School,43 WEST 22 STREET,Manhattan,NY,10010,-73.9914660000,40.7415630000,Yes,No,Yes,No,No,No,No
2016-2017,02360,MANHATTAN INTERNATIONAL HS,Public,School,317 EAST 67 STREET,Manhattan,NY,10021,-73.9600200000,40.7654290000,Yes,No,Yes,No,No,No,No
2016-2017,02365,LANDMARK HIGH SCHOOL,Public,School,351 WEST 18TH STREET,Manhattan,NY,10019,-74.0020690000,40.7429250000,Yes,No,Yes,No,No,No,No
2016-2017,02370,H.S. FOR LEADERSHIP & PUBL.SER,Public,School,90 TRINITY PLACE,Manhattan,NY,10006,-74.0124520000,40.7087190000,Yes,No,Yes,No,No,No,No
2016-2017,02374,GRAMMERCY ARTS HS,Public,School,40 IRVING PLACE,Manhattan,NY,10003,-73.9875440000,40.7354910000,Yes,No,Yes,No,No,No,No
2016-2017,02376,NYCi SCHOOL,Public,School,131 AVE OF THE AMERICAS,Manhattan,NY,10013,-74.0048370000,40.7243710000,Yes,No,Yes,No,No,No,No
2016-2017,02378,INSTITUTE FOR COLLABORATIVE ED,Public,School,345 EAST 15 ST,Manhattan,NY,10003,-73.9829960000,40.7325190000,Yes,No,Yes,No,No,No,No
2016-2017,02380,HEALTH PROF & HUMAN SER. HS,Public,School,345 EAST 15 STREET,Manhattan,NY,10003,-73.9829960000,40.7325190000,Yes,No,Yes,No,Yes,No,No
2016-2017,02392,MANHATTAN BUSINESS ACADEMY,Public,School,351 WEST 18TH STREET,Manhattan,NY,10011,-74.0020690000,40.7429250000,Yes,No,Yes,No,No,No,No
2016-2017,02393,THE BUSINESS OF SPORTS SCHOOL,Public,School,439 WEST 49TH STREET,Manhattan,NY,10019,-73.9905410000,40.7634360000,No,No,Yes,No,No,No,No
2016-2017,02394,EMMA LAZARUS HS,Public,School,100 HESTER STREET,Manhattan,NY,10002,-73.9931260000,40.7164800000,No,No,Yes,No,No,No,No
2016-2017,02397,SPRUCE STREET SCHOOL,Public,School,12 SPRUCE STREET,Manhattan,NY,10038,-74.0055570000,40.7112700000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02398,PS 276 BATTERY PARK CITY SCH,Public,School,55 BATTERY PLACE,Manhattan,NY,10280,-74.0177230000,40.7064080000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02408,PASSAGES ACADEMY (MAN),Public,School,346 BROADWAY - 6TH FL.,Manhattan,NY,10011,-74.0040790000,40.7166530000,No,No,No,No,No,No,No
2016-2017,02414,P094M @ P 51,Public,School,525 WEST 44TH STREET,Manhattan,NY,10036,-73.9957590000,40.7615410000,Yes,No,Yes,No,Yes,No,No
2016-2017,02418,BALLET TECH,Public,School,890 BROADWAY,Manhattan,NY,10003,-73.9898150000,40.7385740000,No,No,Yes,No,Yes,No,No
2016-2017,02419,TALENT UNLIMITED HIGH SCHOOL,Public,School,300 EAST 68TH STREET,Manhattan,NY,10021,-73.9599330000,40.7660160000,Yes,No,Yes,No,Yes,No,No
2016-2017,02420,OFFICE OF COOPERATIVE ED,Public,Office,439 WEST 49TH STREET,Manhattan,NY,10019,-73.9905410000,40.7634360000,No,No,No,No,No,No,No
2016-2017,02431,P721M @ STUYVESANT HS,Public,School,345 CHAMBERS STREET,Manhattan,NY,10282,-74.0136340000,40.7176270000,No,No,No,No,No,No,No
2016-2017,02432,M.S. 114 EAST SIDE MS,Public,School,331 EAST 91 STREET,Manhattan,NY,10128,-73.9485130000,40.7807770000,Yes,No,Yes,No,Yes,No,No
2016-2017,02436,SCHOOL OF THE FUTURE,Public,School,127 EAST 22 STREET,Manhattan,NY,10010,-73.9854390000,40.7390240000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02439,PS 723 AT CUNY,Other Religion,School,33 WEST 42 STREET,Manhattan,NY,10036,-73.9820290000,40.7540590000,No,No,No,No,No,No,No
2016-2017,02441,ABC-MERRICAT'S CASTLE SCH,Nonsectarian,School,316 EAST 88 STREET,Manhattan,NY,10128,-73.9502310000,40.7788460000,No,No,No,No,No,No,No
2016-2017,02442,P226M @ HLTH PROF. & HUM SERV.,Public,School,345 EAST 15 STREET ROOM 202,Manhattan,NY,10003,-73.9829960000,40.7325190000,Yes,No,Yes,No,Yes,No,No
2016-2017,02444,P226M @ JULIA RICHMAN HS,Public,School,317 EAST 67 STREET,Manhattan,NY,10021,-73.9600200000,40.7654290000,Yes,No,Yes,No,Yes,Yes,No
2016-2017,02452,PUBLIC SCHOOL REPERTORY COM.,Public,School,123 WEST 43 STREET,Manhattan,NY,10036,-73.9843300000,40.7559100000,Yes,No,Yes,No,No,No,No
2016-2017,02454,COOKE CTR.@ OUR LADY OF POMPEI,Nonsectarian,School,240 BLEEKER ST,Manhattan,NY,10014,-74.0027460000,40.7305840000,No,No,No,No,No,No,No
2016-2017,02455,N.Y.C. LAB SCHOOL AT PS 198,Public,School,1700 THIRD AVENUE,Manhattan,NY,10128,-73.9497010000,40.7848610000,No,Yes,Yes,No,Yes,No,No
2016-2017,02461,SATELLITE ACADEMY HS,Public,School,120 WEST 30TH STREET,Manhattan,NY,10001,-73.9904950000,40.7475480000,Yes,No,Yes,No,Yes,No,No
2016-2017,02462,HARVEY MILK HIGH SCHOOL,Public,School,2 ASTOR PLACE,Manhattan,NY,10003,-73.9926520000,40.7299630000,No,No,Yes,No,No,No,No
2016-2017,02465,NEW YORK CITY LAB HS,Public,School,333 WEST 17 STREET,Manhattan,NY,10011,-74.0021250000,40.7421840000,Yes,No,Yes,No,No,No,No
2016-2017,02466,THE LIGHTHOUSE CHILD DEV CTR,Nonsectarian,School,111 EAST 59 STREET,Manhattan,NY,10022,-73.9691390000,40.7627300000,No,No,No,No,No,No,No
2016-2017,02482,CLINTON FAMILY RESIDENCE  STH,Public,Office,521 WEST 49TH STREET,Manhattan,NY,10038,-73.9934350000,40.7646550000,No,No,No,No,No,No,No
2016-2017,02483,PROF. PERFORMING ARTS SCHOOL,Public,School,328 WEST 48 STREET,Manhattan,NY,10036,-73.9880660000,40.7613820000,Yes,No,Yes,No,Yes,No,No
2016-2017,02484,P401M @ NY FOUNDLING HOSPITAL,Public,School,590 AVENUE OF THE AMERICAS,Manhattan,NY,10011,-73.9954430000,40.7391020000,No,No,No,No,No,No,No
2016-2017,02488,UNITY H.S.,Public,School,111 EAST 33RD STREET  7TH FL,Manhattan,NY,10016,-73.9812430000,40.7462660000,Yes,No,Yes,No,No,No,No
2016-2017,02491,COOPER UNION SCH OF ENGINEER,Public,Office,41 COOPER SQUARE,Manhattan,NY,10003,-73.9906700000,40.7283220000,No,No,No,No,No,No,No
2016-2017,02494,PS 290 MANHATTAN NEW SCHOOL,Public,School,311 EAST 82 STREET,Manhattan,NY,10028,-73.9530540000,40.7751460000,Yes,Yes,Yes,No,Yes,No,No
2016-2017,02495,NYC MUSEUM SCHOOL,Public,School,333 WEST 17 STREET,Manhattan,NY,10011,-74.0021250000,40.7421840000,Yes,No,Yes,No,No,No,No
2016-2017,02497,RE-START,Public,School,448 WEST 56 STREET,Manhattan,NY,10019,-73.9876520000,40.7677550000,No,No,Yes,No,No,No,No
2016-2017,02503,BROOME STREET ACAD CHARTER HS,Charter,School,555 BROOME STREET,Manhattan,NY,10013,-74.0056380000,40.7242750000,Yes,No,Yes,No,Yes,No,No
2016-2017,02504,URBAN ASSEMBLY GATEWAY TECH,Public,School,439 WEST 49TH STREET,Manhattan,NY,10019,-73.9905410000,40.7634360000,Yes,No,Yes,No,No,No,No
2016-2017,02506,NORMAN THOMAS SHELTER,Nonsectarian,School,111 EAST 33RD ST,Manhattan,NY,10016,-73.9812430000,40.7462660000,No,No,No,No,No,No,No
2016-2017,02507,LIBERTY HS ACAD FOR NEWCOMMERS,Public,School,250 WEST 18 STREET,Manhattan,NY,10011,-73.9993360000,40.7415810000,Yes,No,Yes,No,No,No,No
2016-2017,02958,CFN # 561,Public,Office,333 7TH AVENUE,Manhattan,NY,10002,-73.9929510000,40.7476210000,No,No,No,No,No,No,No
2016-2017,02514,HS OF HOSPITALITY MANAGEMENT,Public,School,525 WEST 50TH STREET,Manhattan,NY,10019,-73.9926340000,40.7651370000,Yes,No,Yes,No,Yes,No,No
2016-2017,02515,P721M @ CHELSEA HS,Public,School,131 AVENUE OF AMERICAS,Manhattan,NY,10013,-74.0048370000,40.7243710000,Yes,No,Yes,No,No,No,No
2016-2017,02516,UNIVERSITY NEIGHBORHOOD H.S.,Public,School,200 MONROE STREET,Manhattan,NY,10002,-73.9844890000,40.7123230000,No,No,Yes,No,No,No,No
2016-2017,02519,STUYVESANT HS,Public,School,345 CHAMBERS STREET,Manhattan,NY,10282,-74.0136340000,40.7176270000,Yes,No,Yes,No,No,No,No
2016-2017,02524,THE HIGH SCHOOL OF TEACHING,Public,School,26 BROADWAY,Manhattan,NY,10004,-74.0132050000,40.7056670000,Yes,No,Yes,No,No,No,No
2016-2017,02525,CHELSEA VOCATIONAL HS,Public,School,131 AVENUE OF THE AMERICAS,Manhattan,NY,10013,-74.0048370000,40.7243710000,Yes,No,Yes,No,No,No,No
2016-2017,02526,PS 527,Public,School,323 EAST 91ST STREET,Manhattan,NY,10128,-73.9486540000,40.7808370000,Yes,No,Yes,No,Yes,No,No
2016-2017,02527,M.S. 260 Clinton School,Public,School,10 EAST 15TH STREET,Manhattan,NY,10003,-73.9927920000,40.7364570000,Yes,No,Yes,No,Yes,No,No
2016-2017,02530,HARVEST COLLEGIATE HS,Public,School,34 WEST 14TH STREET,Manhattan,NY,10011,-73.9948950000,40.7364460000,Yes,No,Yes,No,No,No,No
2016-2017,02531,HS OF ART & DESIGN,Public,School,233 EAST 56TH STREET,Manhattan,NY,10022,-73.9671410000,40.7593030000,Yes,No,Yes,No,No,No,No
2016-2017,02532,UNION SQUARE ACAD HEALTH SCI,Public,School,40 IRVING PLACE  ROOM 501,Manhattan,NY,10003,-73.9875440000,40.7354910000,Yes,No,Yes,No,Yes,No,No
2016-2017,02533,HS OF FASHION INDUSTRIES,Public,School,225 WEST 24TH STREET,Manhattan,NY,10011,-73.9960180000,40.7452180000,Yes,No,Yes,No,Yes,No,No
2016-2017,02537,SCH OF COOPERATIVE TECH EDUC,Public,School,321 EAST 96TH STREET,Manhattan,NY,10128,-73.9463360000,40.7840240000,Yes,No,Yes,No,No,No,No
2016-2017,02538,H.S. OF ENVIRONMENTAL STUDIES,Public,School,444 WEST 56 STREET,Manhattan,NY,10019,-73.9875670000,40.7677190000,Yes,No,Yes,No,Yes,No,No
2016-2017,02544,INDEPENDENCE HS WESTEND CAMPUS,Public,School,850 TENTH AVENUE,Manhattan,NY,10019,-73.9890220000,40.7683050000,No,No,Yes,No,No,No,No
2016-2017,02545,JACQUELINE KENNEDY ONASIS H.S,Public,School,120 WEST 46 STREET,Manhattan,NY,10036,-73.9831300000,40.7576610000,Yes,No,Yes,No,No,No,No
2016-2017,02546,MURRY BERGTRAUM HS,Public,School,411 PEARL STREET,Manhattan,NY,10038,-74.0009500000,40.7114280000,Yes,No,Yes,No,No,No,No
2016-2017,02549,P2G @ THE DOOR,Public,School,121 6TH AVENUE,Manhattan,NY,10013,-74.0047880000,40.7239230000,No,No,Yes,No,No,No,No
2016-2017,02551,NEW DESIGN HS,Public,School,350 GRAND STREET,Manhattan,NY,10002,-73.9893030000,40.7168500000,Yes,No,Yes,No,No,No,No
2016-2017,02554,ECOLE INTERNATIONALE DE NY,Nonsectarian,School,111 EAST 22ND STREET,Manhattan,NY,10010,-73.9859720000,40.7392490000,No,No,Yes,No,Yes,No,No
2016-2017,02555,MANHATTAN COMP NIGHT H.S.,Public,School,240 SECOND AVENUE,Manhattan,NY,10003,-73.9845790000,40.7326690000,No,No,Yes,No,No,No,No
