School_Year,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs
2018-2019,08345,HYDE LEADERSHIP CHARTER SCH,Charter,School,730 BRYANT AVENUE,Bronx,NY,10474,-73.8856670000,40.8154820000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08348,SCHUYLERVILLE PREPARATORY HS,Public,School,3000 EAST TREMONT AVENUE,Bronx,NY,10461,-73.8385720000,40.8406280000,Yes,No,Yes,No,Yes,No,No
2018-2019,08349,BRONX RIVER H.S.,Public,School,3000 EAST TREMONT AVENUE,Bronx,NY,10461,-73.8385720000,40.8406280000,Yes,No,Yes,No,Yes,No,No
2018-2019,08362,ICAHN CHARTER SCHOOL #7,Charter,School,1535 STORY AVENUE,Bronx,NY,10473,-73.8769410000,40.8218480000,No,Yes,Yes,No,No,No,No
2018-2019,08363,ICAHN CHARTER SCHOOL #7 MS,Charter,School,1695 Seward Avenue,Bronx,NY,10473,-73.8683910000,40.8185420000,No,Yes,Yes,No,No,No,No
2018-2019,08367,ARCHIMEDES ACAD.MATH-SCI-TECH,Public,School,456 WHITE PLAINS ROAD,Bronx,NY,10473,-73.8564520000,40.8147280000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08371,THE URBAN INST OF MATHEMATICS,Public,School,650 HOLLYWOOD AVE,Bronx,NY,10465,-73.8183200000,40.8265530000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08375,THE BRONX MATH PREP SCHOOL,Public,School,456 WHITE PLAINS ROAD 4TH FLOOR,Bronx,NY,10473,-73.8564520000,40.8147280000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08376,THE ANTONIA PANTOJA PREP ACAD,Public,School,1980 LAFAYETTE AVENUE,Bronx,NY,10473,-73.8561510000,40.8222120000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08377,BRONX COMMUNITY HS,Public,School,1980 LAFAYETTE AVENUE,Bronx,NY,10473,-73.8561510000,40.8222120000,No,No,Yes,No,Yes,No,No
2018-2019,08380,SUCCESS ACADEMY BRONX 3 MS,Charter,School,965 Longwood Avenue,Bronx,NY,10459,-73.8982120000,40.8175120000,No,Yes,Yes,No,Yes,No,No
2018-2019,08392,BRONX DELTA SCHOOL,Public,School,650 HOLLYWOOD AVENUE,Bronx,NY,10465,-73.8183200000,40.8265530000,Yes,Yes,Yes,No,No,No,No
2018-2019,08408,HOME INSTRUCTIONS SCH- BRONX,Public,Office,3450 EAST TREMONT AVENUE,Bronx,NY,10465,-73.8275740000,40.8320770000,No,No,No,No,No,No,No
2018-2019,08413,WOMEN'S ACAD OF EXCELLENCE,Public,School,456 WHITE PLAINS ROAD,Bronx,NY,10473,-73.8564520000,40.8147280000,Yes,No,Yes,No,Yes,No,No
2018-2019,08420,P188X @ P301X,Public,School,890 CAULDWELL AVE,Bronx,NY,10456,-73.9071030000,40.8224430000,Yes,No,No,No,Yes,No,No
2018-2019,08444,SCH FOR INQUIRY & SOCIAL JUST.,Public,School,1025 MORRISON AVE.,Bronx,NY,10472,-73.8737670000,40.8253870000,Yes,Yes,Yes,No,No,No,No
2018-2019,08446,P721X @ BRONX YMCA - CASTLE HI,Public,School,2 CASTLE HILL AVENUE,Bronx,NY,10473,-73.8462130000,40.8117010000,Yes,No,Yes,No,No,No,No
2018-2019,08447,P186X @ BRONX STUDIO,Public,School,928 SIMPSON STREET,Bronx,NY,10459,-73.8930920000,40.8204920000,Yes,No,Yes,No,No,No,No
2018-2019,08448,SOUNDVIEW ACADEMY,Public,School,885 BOLTON AVENUE,Bronx,NY,10473,-73.8597630000,40.8235110000,Yes,Yes,Yes,No,No,No,No
2018-2019,08449,PS 119 AX,Public,School,1111 PUGSLEY AVENUE,Bronx,NY,10472,-73.8568320000,40.8292180000,Yes,Yes,Yes,No,No,No,No
2018-2019,08452,P010X  @ P152X,Public,School,1007 Evergreen Avenue,Bronx,NY,10472,-73.8801340000,40.8240320000,No,No,No,No,Yes,No,No
2018-2019,08453,P017X @ IS 125,Public,School,1111 PUGSLEY AVENUE,Bronx,NY,10472,-73.8568320000,40.8292180000,No,No,No,No,No,No,No
2018-2019,08454,BX CHARTER SCH FOR  ARTS ELM,Charter,School,950 LONGFELLOW AVENUE,Bronx,NY,10474,-73.8864500000,40.8214560000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08461,P721X @ MARITIME COLLEGE,Public,School,FORT SCHUYLER,Bronx,NY,10465,-73.7963320000,40.8073740000,No,No,No,No,No,No,No
2018-2019,08464,P721X @ H.H.LEHMAN HS,Public,School,3000 EAST TREMONT AVENUE,Bronx,NY,10461,-73.8385720000,40.8406280000,Yes,No,Yes,No,No,No,No
2018-2019,08465,MS101,Public,School,2750 LAFAYETTE AVENUE,Bronx,NY,10465,-73.8297010000,40.8274040000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08466,HOSPITAL SCHOOLS,Public,School,3450 EAST TREMONT AVENUE,Bronx,NY,10465,-73.8275740000,40.8320770000,No,Yes,No,No,No,No,No
2018-2019,08467,MOTT HALL COMMUNITY SCHOOL,Public,School,650 HOLLYWOOD AVENUE,Bronx,NY,10465,-73.8183200000,40.8265530000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,08468,P352X @ I201X,Public,School,730 BRYANT AVE,Bronx,NY,10474,-73.8856670000,40.8154820000,Yes,No,Yes,No,No,No,No
2018-2019,08470,P723X@P014(SUMMER),Public,School,2951 DEWEY AVE,Bronx,NY,10465,-73.8182920000,40.8226720000,No,No,No,No,No,No,No
