the_geom,OBJECTID,School Name,Site Address,Open or Closed,CMO,Enrollment,PublicVsPrivate
POINT (-90.10128613441 29.922636388881),138,St. Stephen School,1027 Napoleon Ave,OPEN,,,PRIVATE
POINT (-90.104067502442 29.971727835404),31,Esperanza Charter School,4407 S Carrollton Ave,OPEN,Choice Foundation,528,PUBLIC
POINT (-90.074062951565 29.930205707586),139,St. Alphonsus Elementary School,2001 Constance St,OPEN,,,PRIVATE
POINT (-90.078112237411 29.931837703037),153,Trinity Episcopal School,1315 Jackson Ave,OPEN,,,PRIVATE
POINT (-90.040681346027 29.942298134039),59,L. B. Landry – O. Perry Walker College and Career Preparatory High School,1200 LB Landry Ave,OPEN,Algiers Charter School Association,1155,PUBLIC
POINT (-90.103940587008 29.926931558613),103,Academy Of The Sacred Heart,4521 St. Charles Ave,OPEN,,,PRIVATE
POINT (-90.080046507995 29.977861617391),38,Foundation Preparatory,2733 Esplanade Ave,OPEN,Non-Network,146,PUBLIC
POINT (-90.122722250109 29.944692677534),65,Lusher Charter Elementary School,7315 Willow St,OPEN,Non-Network,666,PUBLIC
POINT (-90.036191314388 29.944729776667),39,Harriet Tubman Charter School,2013 General Meyer Ave,OPEN,Crescent City Schools,647,PUBLIC
POINT (-90.112125246028 29.927129134525),115,De La Salle High School,5300 St. Charles Ave,OPEN,,,PRIVATE
POINT (-90.094200679693 29.930380236062),99,Walter L. Cohen Academy of Career and Community Education (ACCE),3520 Dryades St,OPEN,New Orleans College Preparatory Academies (NOCP),,PUBLIC
POINT (-89.924968161433 30.03979694548),27,Einstein Charter School at Village De L’est,5100 Cannes St,OPEN,Einstein Charter Schools,468,PUBLIC
POINT (-90.090382197854 29.939780627254),52,KIPP Booker T. Washington High School,2514 Third St,OPEN,KIPP,226,PUBLIC
POINT (-89.984771438272 29.917088686736),15,Rosenwald Collegiate Academy,6501 Berkley Dr,OPEN,Collegiate Academies,,PUBLIC
POINT (-90.101628400406 30.003508739454),23,Edward Hynes Charter School,990 Harrison Ave,OPEN,Non-Network,691,PUBLIC
POINT (-90.093297961551 29.943585545823),164,McMillian's FIRST Steps CDC/Academy,2601 S Claiborne Ave,OPEN,,,PRIVATE
POINT (-90.051278030257 29.983675489576),30,ENCORE Academy,2518 Arts St,OPEN,Non-Network,561,PUBLIC
POINT (-90.072918312608 29.951240279005),151,The Good Shepherd Nativity Mission Elementary School,353 Baronne St,OPEN,,,PRIVATE
