Supplier,Item Code,Item Description,Type,Tag,Order Number,Order Status,PO Status,Ordered Qty,Fulfilled Qty,Ordered Date,Received Date,Fulfillment Date,Days to Fill
LEGENDS LTD,23215,DACHOUFFE LA CHOUFFE 6/4 NR - 11.2OZ,BEER,SB,178#####,BOOKED,OPEN,1,,04/24/2020,04/28/2020,,
RELIABLE CHURCHILL LLLP,73104,PELIGROSO TEQUILA - SILVER - LITER,LIQUOR,LS,178#####,BOOKED,,1,,04/25/2020,,,
NEXTERRA WINE COMPANY,64070,COOPER'S HAWK WHITE SANGRIA 750ML,WINE,LS,178#####,BOOKED,OPEN,4,,04/28/2020,04/30/2020,,
CONSTANTINE WINES INC,354014,PIGRO CHIANTI CLASSICO DOCG - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/15/2020,04/20/2020,04/22/2020,7
MONSIEUR TOUTON SELECTION,396940,DOLCEMENTE S/SWEET WHITE - 750ML,WINE,S,177#####,BOOKED,CLOSED,1,1,04/08/2020,04/14/2020,04/17/2020,9
CONSTANTINE WINES INC,303051,PACIFIC REDWOOD P/NOIR - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/06/2020,04/13/2020,04/15/2020,9
GRAPES OF SPAIN INC,234654,FATUM WHITE - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/06/2020,04/10/2020,04/16/2020,10
BUCK DISTRIBUTING COMPANY INC,69593,STONE SOARING DRAGON IPA 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,5,5,04/15/2020,04/22/2020,04/28/2020,13
REPUBLIC NATIONAL DISTRIBUTING CO,335642,CUL DE SAC P/GRIG - 750ML,WINE,S,177#####,BOOKED,OPEN,5,5,04/22/2020,04/23/2020,04/30/2020,8
REPUBLIC NATIONAL DISTRIBUTING CO,423912,CLIFFORD BAY S/BLC - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/20/2020,04/23/2020,04/30/2020,10
PUNTO VINO LLC,428899,LITTLE BOSCO FRIZZANTE - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/09/2020,04/14/2020,04/15/2020,6
LEGENDS LTD,10646,OSKAR BLUES G'KNIGHT - 4/6 CAN 12.OZ,BEER,SB,178#####,BOOKED,,1,,04/27/2020,,,
DIONYSOS IMPORTS INC,405426,PORTAZ APREMONT - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/24/2020,04/27/2020,04/29/2020,5
AREL GROUP WINE & SPIRITS,56227,CANDONI CHIANTI - 750ML,WINE,S,177#####,BOOKED,CLOSED,1,1,04/07/2020,04/16/2020,04/22/2020,15
RELIABLE CHURCHILL LLLP,85150,DAILYS BAHAMA MAMA - 10.0Z,WINE,SC,177#####,BOOKED,OPEN,1,1,04/07/2020,04/14/2020,04/16/2020,9
LEGENDS LTD,68740,LEFT HAND NITRO MILK STOUT 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/09/2020,04/14/2020,04/15/2020,6
BACCHUS IMPORTERS LTD,305324,GRAYSON CELLARS CHARD - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/06/2020,04/09/2020,6
CONSTANTINE WINES INC,350718,LAPIS LUNA SAUVIGNON BLANC - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,1,04/23/2020,04/27/2020,04/29/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",304127,ANGELINE RES MER - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/02/2020,04/06/2020,04/09/2020,7
LEGENDS LTD,22142,SOUTHERN TIER IPA 4/6 NR - 12OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/06/2020,04/14/2020,04/16/2020,10
NEXTERRA WINE COMPANY,64089,COOPER'S HAWK TEMPRANILLO 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/21/2020,04/23/2020,04/29/2020,8
CONSTANTINE WINES INC,347688,LUBANZI CHENIN BLANC,WINE,LS,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/30/2020,7
RELIABLE CHURCHILL LLLP,6173,S SMITH NUT BROWN ALE NR 12/CS - 18.7OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/21/2020,04/22/2020,9
KYSELA PERE ET FILS LTD,238628,RINALDI MALV DI CASTELNUOVO DON BOSCO - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/28/2020,04/29/2020,7
"THE COUNTRY VINTNER, LLC DBA WINEBOW",326885,CAPARZO ROSSO DI MONTAL - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/02/2020,04/06/2020,04/08/2020,6
REPUBLIC NATIONAL DISTRIBUTING CO,355504,EOS CAL CHARD - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/20/2020,04/23/2020,04/30/2020,10
TREANA WINERY LLC,80838,TREANA RED - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,,04/09/2020,,,
REPUBLIC NATIONAL DISTRIBUTING CO,341630,LINGANORE STEEPLE CHASE RED - 1.5L,WINE,S,177#####,CLOSED,OPEN,1,1,04/21/2020,04/23/2020,04/24/2020,3
ELITE WINES IMPORTS,235126,RDV VYDS FRIENDS & FAMILY RED - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/21/2020,04/27/2020,04/29/2020,8
ARTISANS & VINES LLC,236158,DOM NATURALISTE REBUS CAB - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/23/2020,04/30/2020,8
TREASURY WINE ESTATES AMERICAS COMPANY,296894,CH ST JEAN CREAMY CHARD - 750ML,WINE,LS,177#####,CLOSED,OPEN,5,5,04/17/2020,04/21/2020,04/23/2020,6
OSLO ENTERPRISE,321546,ANNE DE JOYEUSE CAMAS S/BLC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/08/2020,04/13/2020,04/15/2020,7
SOUTHERN GLAZERS WINE AND SPIRITS,41711,CK MONDAVI MER                137477 - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/01/2020,04/07/2020,04/10/2020,9
LEGENDS LTD,63526,AUSTIN ROSE CIDER 4/6 CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/19/2020,04/28/2020,04/30/2020,11
PWSWN INC,336876,BRANIZZI P/NERO - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/06/2020,04/09/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",346951,MARTIN RAY P/NOIR ROSE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/16/2020,04/20/2020,04/23/2020,7
DC BRAU BREWING LLC,68887,DC BRAU FULL TRANSPARENCY POG 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/06/2020,04/15/2020,04/22/2020,16
MILLER BREWING COMPANY,77737,BLUE MOON LIGHT SKY  2/12 SLIM CAN,BEER,SB,177#####,CLOSED,OPEN,1,1,04/13/2020,04/22/2020,04/28/2020,15
KYSELA PERE ET FILS LTD,232950,LEXICON S/BLC - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/08/2020,04/14/2020,04/16/2020,8
REPUBLIC NATIONAL DISTRIBUTING CO,349728,FOG & LIGHT MONTEREY PINOT NOIR - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/21/2020,04/23/2020,04/29/2020,8
BACCHUS IMPORTERS LTD,42385,GRAYSON CELLARS CAB - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/15/2020,6
LEGENDS LTD,69583,HI-CURRENT VARIETY SELTZER 2/12 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/15/2020,6
ARTISANS & VINES LLC,351096,WEHRHEIM NIERST SPIEG RIES 750 ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/16/2020,7
ANHEUSER BUSCH INC,63934,ROLLING ROCK 4/6 16OZ CANS,BEER,SB,177#####,CLOSED,,1,1,04/06/2020,,04/09/2020,3
INTERBALT PRODUCTS CORP,355318,JAMAL'S DREAMS RED DESSERT- 500ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/07/2020,04/10/2020,7
"THE COUNTRY VINTNER, LLC DBA WINEBOW",306632,PUNTO FINAL RES MAL - 750ML,WINE,LS,178#####,BOOKED,,1,,04/25/2020,,,
ELITE WINES IMPORTS,304000,DOM DE L'HEMONIERE S/BLC - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/06/2020,04/08/2020,6
PRESTIGE BEVERAGE GROUP OF MD LLC,309843,BRECA GARN DEL FUEGO - 750ML,WINE,S,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
LAPHAM SALES & MARKETING DBA LAPHAM,385514,GEKKEIKAN CAP ACE SAKE - 180ML,WINE,S,178#####,BOOKED,OPEN,1,,04/27/2020,,,
BROWN-FORMAN BEVERAGES WORLDWIDE,1008,JACK DANIELS COUNTRY COCKTAIL SOUTHERN PEACH - 10.OZ-NR,BEER,SB,177#####,BOOKED,,2,,04/07/2020,,,
KYSELA PERE ET FILS LTD,300048,RIEBEEK CELLARS S/BLC - 750ML,WINE,S,177#####,BOOKED,OPEN,1,1,04/15/2020,04/21/2020,04/22/2020,7
MONSIEUR TOUTON SELECTION,317727,VILLA JOLANDA MOSCATO PEACH - 750ML,WINE,SC,177#####,CLOSED,CLOSED,1,1,04/15/2020,04/21/2020,04/22/2020,7
INTERBALT PRODUCTS CORP,349099,KGM RKATSITELI - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,,04/23/2020,04/29/2020,,
LEGENDS LTD,24870,OSKAR BLUES DALES PALE ALE CANS - 19.2OZ,BEER,SB,177#####,BOOKED,OPEN,1,,04/19/2020,04/28/2020,,
LEGENDS LTD,69601,DOWN EAST CIDER ALOHA FRIDAY 2/9 CANS,BEER,SB,177#####,CLOSED,OPEN,4,4,04/16/2020,04/21/2020,04/22/2020,6
INTERBALT PRODUCTS CORP,346764,UNDER THE ROSE - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/17/2020,04/21/2020,04/23/2020,6
CONSTANTINE WINES INC,329466,QUINTA DE AVELEDA - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/06/2020,04/09/2020,7
MONSIEUR TOUTON SELECTION,311740,TOMAIOLO CHN CL RS - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/14/2020,04/23/2020,15
WINE BRIDGE IMPORTS INC,333973,NAI E SENORA ALBARINO - 750ML,WINE,S,178#####,BOOKED,,1,,04/30/2020,,,
NEXTERRA WINE COMPANY,64008,COOPER'S HAWK MALBEC 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/14/2020,04/16/2020,04/22/2020,8
REPUBLIC NATIONAL DISTRIBUTING CO,323955,MENAGE A TROIS S/BLC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/12/2020,04/14/2020,04/21/2020,9
FREE RUN WINE MERCHANTS LLC,312782,LUBERRI ORLEGI - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/24/2020,04/27/2020,04/30/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",308866,CARLOS SERRES O/V TEMP - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/16/2020,04/20/2020,04/23/2020,7
LANTERNA DISTRIBUTORS INC,335471,L'OLIVETO ROSE - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/27/2020,04/28/2020,04/29/2020,2
MONSIEUR TOUTON SELECTION,333223,CH MARJOSSE - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/06/2020,04/14/2020,04/21/2020,15
LEGENDS LTD,5169,OMMEGANG ABBEY ALE 6/4PK NR - 12OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/06/2020,04/14/2020,04/15/2020,9
PRESTIGE BEVERAGE GROUP OF MD LLC,235084,FOUNDING SPIRITS AMARO LIQ - 750ML,LIQUOR,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/23/2020,04/30/2020,8
"THE COUNTRY VINTNER, LLC DBA WINEBOW",336319,MAN VINTNERS PINOTAGE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/09/2020,04/13/2020,04/23/2020,14
LEGENDS LTD,69578,CIGAR CITY PALOMA GOSE 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/16/2020,7
BANVILLE & JONES WINE MERCHANTS,237324,CA' VIOLA BAROLO CAVIOT - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/24/2020,04/27/2020,04/30/2020,6
CABERNET CORPORATION,42799,BERTON VYDS METAL LABEL CAB/SAUV - 750ML,WINE,S,177#####,BOOKED,OPEN,1,,04/08/2020,,,
INTERBALT PRODUCTS CORP,349079,KGM KINDZMARAULIU - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/14/2020,04/16/2020,3
LUNEAU USA INC,69562,CHATEAU LA CHEZE COTES DE BORDUEAUX 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/15/2020,04/30/2020,05/01/2020,16
FREE RUN WINE MERCHANTS LLC,352464,AUBRON MUSCADET - 750ML,WINE,LS,177#####,CLOSED,CLOSED,2,2,04/17/2020,04/20/2020,04/23/2020,6
LEGENDS LTD,50419,CAPTAIN LAWRENCE GRAPEFRUIT EFFORTLESS 4/6 CAN,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
BUCK DISTRIBUTING COMPANY INC,25921,HOFBRAU HEFE WEISS 4/6NR - 11.2OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/12/2020,04/15/2020,04/21/2020,9
SOUTHERN GLAZERS WINE AND SPIRITS,239490,CK MONDAVI SPRITZED ROSE MOSCATO - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,1,04/28/2020,04/30/2020,05/01/2020,3
DC BRAU BREWING LLC,26642,DC BRAU THE CITIZEN BELGIAN-STYLE PALE 4/6 CANS,BEER,SB,177#####,BOOKED,OPEN,1,1,04/20/2020,04/28/2020,04/29/2020,9
SOUTHERN GLAZERS WINE AND SPIRITS,239488,LIVING CORAL SPARK ROSE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/08/2020,04/09/2020,04/15/2020,7
DIONYSOS IMPORTS INC,332441,AVES DEL SUR CAB - 750ML,WINE,S,178#####,CLOSED,OPEN,2,2,04/23/2020,04/27/2020,04/30/2020,7
REPUBLIC NATIONAL DISTRIBUTING CO,318831,CAVIT CHARD - 750ML,WINE,S,177#####,BOOKED,OPEN,1,1,04/10/2020,04/14/2020,04/24/2020,14
"THE COUNTRY VINTNER, LLC DBA WINEBOW",428096,BARNARD GRIFFIN SANG RSE - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/17/2020,04/20/2020,04/22/2020,5
"THE COUNTRY VINTNER, LLC DBA WINEBOW",370657,RIDGE ZIN EAST BENCH - 750ML,WINE,SW,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/29/2020,6
LEGENDS LTD,60415,GRAFT LOST TROPIC 6/4 CANS,BEER,SB,177#####,BOOKED,CLOSED,1,1,04/07/2020,04/14/2020,04/15/2020,8
ROYAL WINE CORP,100080,KEDEM CREAM RED CONCORD - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,,04/21/2020,,,
ELK RUN VINEYARDS,70335,ELK RUN MER - 750ML,WINE,S,178#####,BOOKED,,1,,04/27/2020,,,
TRADEWINDS SPECIALTY IMPORTS LLC,41962,BROOKLYN CIDER HOUSE RAW HARD CIDER - 12OZ 6/4 CANS,BEER,SB,178#####,CLOSED,OPEN,2,2,04/23/2020,04/27/2020,04/29/2020,6
PUNTO VINO LLC,328299,VIS A VIE CAB - 750ML,WINE,S,177#####,CLOSED,CLOSED,2,2,04/02/2020,04/07/2020,04/09/2020,7
PUNTO VINO LLC,341983,ALCESTI SYR - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/16/2020,04/21/2020,04/23/2020,7
ALLAGASH BREWING COMPANY,68965,ALLAGASH RIVER TRIP 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/08/2020,04/13/2020,11
LEGENDS LTD,64165,LAGUNITAS LITTLE SUMPIN HAZY 4/6 NR,BEER,SB,177#####,CLOSED,CLOSED,15,15,04/03/2020,04/07/2020,04/08/2020,5
LEGENDS LTD,63472,FLYING FISH VARIETY 1/15PK CANS,BEER,SB,178#####,BOOKED,,2,,04/30/2020,,,
REPUBLIC NATIONAL DISTRIBUTING CO,350930,QUEST PROPRIETARY RED - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/24/2020,04/28/2020,04/29/2020,5
SOUTHERN GLAZERS WINE AND SPIRITS,238116,BLUE NUN SPARK 24K GOLD ED - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/20/2020,04/23/2020,04/28/2020,8
"THE COUNTRY VINTNER, LLC DBA WINEBOW",315336,ERMITAGE PIC ST LOUP DE PIERRES RGE - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/30/2020,7
ROYAL WINE CORP,317978,BARON HERZOG JEUNESSE PINK MOSCATO - 750ML,WINE,S,177#####,BOOKED,OPEN,1,,04/13/2020,,,
ARTISANS & VINES LLC,353138,LA FONT DU LOUP CDR ROUGE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/23/2020,04/30/2020,8
"THE COUNTRY VINTNER, LLC DBA WINEBOW",308866,CARLOS SERRES O/V TEMP - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/06/2020,04/13/2020,04/16/2020,10
