Supplier,Item Code,Item Description,Type,Tag,Order Number,Order Status,PO Status,Ordered Qty,Fulfilled Qty,Ordered Date,Received Date,Fulfillment Date,Days to Fill
BUCK DISTRIBUTING COMPANY INC,63785,FAMOSA 24OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,5,5,04/20/2020,04/22/2020,04/28/2020,8
"THE COUNTRY VINTNER, LLC DBA WINEBOW",396486,ANGELINE S/BLC - 750ML,WINE,S,178#####,BOOKED,,1,,04/27/2020,,,
REPUBLIC NATIONAL DISTRIBUTING CO,190721,TOAD HOLLOW CHARD 750ML,WINE,S,178#####,BOOKED,OPEN,1,1,04/26/2020,04/28/2020,04/29/2020,3
LEGENDS LTD,69029,LAGUNITAS HAZY MEMORY 6/4 16OZ CANS,BEER,SB,177#####,BOOKED,OPEN,1,1,04/21/2020,04/28/2020,04/30/2020,9
REPUBLIC NATIONAL DISTRIBUTING CO,348244,MER SOLIEL UNOAKED SLVR CHARD - 750ML,WINE,SC,177#####,CLOSED,OPEN,1,1,04/13/2020,04/17/2020,04/22/2020,9
BACKUP BEVERAGE,69533,FUNK BIKES! 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/07/2020,04/09/2020,04/13/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",310545,CH DE FONTENILLE BLC - 750ML,WINE,LS,178#####,BOOKED,,1,,04/30/2020,,,
LEGENDS LTD,28837,ANDECHS WEISSBIER DUNKEL 20/16.9 OZ NR,BEER,SB,177#####,CLOSED,OPEN,1,1,04/13/2020,04/21/2020,04/22/2020,9
GEORGIAN HOUSE OF GREATER WASHINGTON,312215,ORGO RKATSITELI 14 - 750ML,WINE,S,177#####,BOOKED,,12,,04/17/2020,,,
DIONYSOS IMPORTS INC,352720,LA JARA ORGANIC PINOT GRIGIO ROSE - 750ML,WINE,LS,178#####,BOOKED,,1,,04/30/2020,,,
ANHEUSER BUSCH INC,68281,BON & VIV SPIKED SELTZER GRAPEFRUIT 4/6 CANS,BEER,SB,177#####,BOOKED,,2,,04/05/2020,,,
DIONYSOS IMPORTS INC,357650,JEAN VESSELLE BRUT ROSE - 375ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/10/2020,04/13/2020,04/15/2020,5
"THE COUNTRY VINTNER, LLC DBA WINEBOW",395838,BORGO SCOPETO BORGONERO - 750ML,WINE,S,177#####,BOOKED,OPEN,1,1,04/07/2020,04/13/2020,04/14/2020,7
"THE COUNTRY VINTNER, LLC DBA WINEBOW",336700,FITZ RITTER SEKT RIES SEKT NV - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/08/2020,04/13/2020,04/16/2020,8
NICHE IMPORTERS,333996,LENZ MOSER BLAUFRANKISCH - 1L,WINE,LS,177#####,BOOKED,OPEN,1,,04/16/2020,,,
LEGENDS LTD,60071,CRISPIN ROSE 4/6 NR,BEER,SB,178#####,CLOSED,OPEN,1,1,04/23/2020,04/28/2020,04/29/2020,6
INTERBALT PRODUCTS CORP,348037,A LE COQ PORTER 500 ML,BEER,SB,178#####,CLOSED,OPEN,1,1,04/27/2020,04/28/2020,05/01/2020,4
BACKUP BEVERAGE,239638,SUPREME CORE GINGER BEARD MAN 6/4 CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/21/2020,04/23/2020,04/24/2020,3
REPUBLIC NATIONAL DISTRIBUTING CO,341257,DREAMING TREE S/BLC - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
PUNTO VINO LLC,349380,SIEMA VYDS P/GRIGIO - 1.5L,WINE,S,178#####,BOOKED,OPEN,2,2,04/27/2020,04/28/2020,04/29/2020,2
INTERNATIONAL CELLARS LLC,329470,TOSCHI CHARD - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/08/2020,04/14/2020,04/15/2020,7
LEGENDS LTD,69263,CIGAR CITY FLORIDA MAN 4/6 CANS,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
PWSWN INC,352074,USOA DE BAGORDI RIOJA - 750ML,WINE,LS,177#####,CLOSED,CLOSED,2,2,04/05/2020,04/13/2020,04/17/2020,12
WI INC,62417,CHAKRAS MALBEC 750ML,WINE,LS,177#####,BOOKED,,1,,04/22/2020,,,
QUINTESSENTIAL LLC,438863,GUSTAVE LORENTZ RES RIES - 750ML,WINE,SC,178#####,BOOKED,,1,,04/28/2020,,,
DIONYSOS IMPORTS INC,350260,MORAITIS ASSYRTIKO - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/27/2020,04/30/2020,8
BACKUP BEVERAGE,12893,REKORDERLIG PASSIONFRUIT CN - 11.2OZ,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/13/2020,04/16/2020,04/22/2020,9
OPICI FAMILY DISTRIBUTING OF MD,349530,BREAD AND BUTTER CABERNET - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/06/2020,04/07/2020,04/08/2020,2
DOPS INC,26448,UINTA BABA BLACK 4/6 CANS - 12OZ,BEER,SB,177#####,CLOSED,OPEN,1,1,04/22/2020,04/27/2020,04/30/2020,8
WINE BRIDGE IMPORTS INC,348708,ANNA'S WAY PINOT GRIS - 750ML,WINE,S,178#####,BOOKED,,1,,04/30/2020,,,
LEGENDS LTD,29010,FIRESTONE UNION JACK IPA 4/6 12.OZ CAN,BEER,SB,177#####,CLOSED,CLOSED,3,3,04/09/2020,04/14/2020,04/15/2020,6
DOPS INC,98728,WEIHENSTPHANER HEFE-WEISS 4/6NR - 12OZ,BEER,SB,177#####,CLOSED,OPEN,2,2,04/20/2020,04/27/2020,04/29/2020,9
KYSELA PERE ET FILS LTD,232776,HUGL ZWEIGELT ROSE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/02/2020,04/07/2020,04/13/2020,11
"THE COUNTRY VINTNER, LLC DBA WINEBOW",306472,SANTA JULIA VIOG SUSTAINABLE - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/06/2020,04/13/2020,04/16/2020,10
LANTERNA DISTRIBUTORS INC,433038,99 VINES P/NOIR - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/09/2020,04/14/2020,04/15/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",115290,INDABA S/BLC WESTERN CAPE - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/09/2020,04/13/2020,04/15/2020,6
BACKUP BEVERAGE,347275,REKORDERLIG STRAWBERRY LIME CIDER - 11.2OZ CAN,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/13/2020,04/16/2020,04/22/2020,9
SOUTHERN GLAZERS WINE AND SPIRITS,238620,BOLLICINI PROSECCO - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/24/2020,04/28/2020,04/30/2020,6
LEGENDS LTD,63601,SIXPOINT JAMMER SESSION VARIETY 1/15PK CAN,BEER,SB,177#####,CLOSED,OPEN,5,5,04/15/2020,04/21/2020,04/24/2020,9
REPUBLIC NATIONAL DISTRIBUTING CO,166333,ROSCATO SMOOTH - 750ML,WINE,S,177#####,BOOKED,OPEN,1,1,04/15/2020,04/17/2020,04/24/2020,9
THREE STARS BREWING COMPANY LLC,63340,3 STARS LOW HANGING FRUIT 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,,1,1,04/06/2020,,04/22/2020,16
LANTERNA DISTRIBUTORS INC,325845,ALTOS DE TAMARON TEMP - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/06/2020,04/07/2020,04/09/2020,3
LEGENDS LTD,64141,SOUTHERN TIER LAKE SHORE FOG 4/6 CANS,BEER,SB,178#####,CLOSED,OPEN,1,1,04/23/2020,04/28/2020,05/01/2020,8
LEGENDS LTD,24177,CRISPIN CIDER HONEY CRISP 12/22 OZ,BEER,SB,178#####,BOOKED,,1,,04/27/2020,,,
LEGENDS LTD,69654,OSKAR BLUES ONEY 2/12 CANS,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
LUNEAU USA INC,334688,CH LA GRAVIERE RED BORD - 750ML,WINE,S,177#####,BOOKED,OPEN,1,,04/15/2020,04/30/2020,,
CONSTANTINE WINES INC,401072,STEPHEN VINCENT CHARD - 750ML,WINE,S,178#####,BOOKED,,1,,04/26/2020,,,
DOPS INC,347960,FEUDI DEL DUCA MONTEPULCIANO 750 ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/08/2020,04/13/2020,04/15/2020,7
GRAPES OF SPAIN INC,390250,VEGA ESCAL - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
"THE COUNTRY VINTNER, LLC DBA WINEBOW",311737,DR LOOSEN GRAY SLATE RIES - 750ML,WINE,LS,177#####,CLOSED,,1,1,04/16/2020,,04/22/2020,6
LEGENDS LTD,63808,ACE CIDER JOKER 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/24/2020,15
DOPS INC,309154,LEFT COAST P/NOIR - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/10/2020,04/13/2020,04/15/2020,5
WI INC,62417,CHAKRAS MALBEC 750ML,WINE,LS,178#####,BOOKED,,1,,05/01/2020,,,
SOUTHERN GLAZERS WINE AND SPIRITS,235530,LOLEA SANGRIA ROSE NO.5 - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/17/2020,04/21/2020,04/23/2020,6
DIONYSOS IMPORTS INC,109525,BOUDIN CHAB - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/06/2020,04/08/2020,5
LEGENDS LTD,5193,OMMEGANG 3 PHILOSOPHERS 6/4 NR,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/07/2020,04/14/2020,04/16/2020,9
REPUBLIC NATIONAL DISTRIBUTING CO,239030,BENVOLIO PROSECCO - 187ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
WI INC,63904,LUNA NUDA ROSE 750ML,WINE,LS,177#####,CLOSED,,1,1,04/22/2020,,04/24/2020,2
MONSIEUR TOUTON SELECTION,339102,MAYNARD'S FINE RUBY PRT - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/14/2020,04/23/2020,15
DOPS INC,98728,WEIHENSTPHANER HEFE-WEISS 4/6NR - 12OZ,BEER,SB,177#####,CLOSED,OPEN,1,1,04/22/2020,04/27/2020,05/01/2020,9
"THE COUNTRY VINTNER, LLC DBA WINEBOW",142450,ARGYLE NV BRUT SPARK - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/09/2020,04/13/2020,04/15/2020,6
PWSWN INC,346485,SECRET CELLARS PASO ROBLES CAB - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/15/2020,6
SIERRA NEVADA BREWING CO,23363,SIERRA NEVADA KELLERWEIS 4/6 NR,BEER,SB,177#####,CLOSED,OPEN,6,6,04/08/2020,04/17/2020,04/22/2020,14
THREE STARS BREWING COMPANY LLC,69589,3 STARS / UNION HOPPING UP HEAVENS 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/15/2020,04/17/2020,8
ELITE WINES IMPORTS,309149,SAN POLO AUKA MAL DON ALFONSO - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/13/2020,04/20/2020,04/22/2020,9
KYSELA PERE ET FILS LTD,233618,VINTERRA P/NOIR 15 CLOSEOUT - 750ML,WINE,LS,177#####,CLOSED,OPEN,4,4,04/20/2020,04/21/2020,04/16/2020,-4
DOPS INC,22944,21ST AMENDMENT WATERMELON CAN 4/6 CANS 12.0Z,BEER,SB,178#####,BOOKED,,1,,04/25/2020,,,
RELIABLE CHURCHILL LLLP,242109,CAPRICCIO PASSION FRUIT SANGRIA - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/21/2020,04/28/2020,04/30/2020,9
RELIABLE CHURCHILL LLLP,24854,S SMITH ORGANIC CHOCOLATE STOU 6/4 NR - 12OZ,BEER,SB,178#####,BOOKED,,1,,04/28/2020,,,
REPUBLIC NATIONAL DISTRIBUTING CO,80657,CYT FRONTERA CAB - 750ML,WINE,S,177#####,BOOKED,OPEN,1,1,04/16/2020,04/17/2020,04/24/2020,8
BUCK DISTRIBUTING COMPANY INC,63692,BELLS OFFICIAL 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/14/2020,04/22/2020,04/23/2020,9
DOPS INC,98850,WEIHENSTEPHANER ORIGINAL 4/6NR - 12OZ,BEER,SB,177#####,BOOKED,CLOSED,1,1,04/04/2020,04/13/2020,04/14/2020,10
HUB WINE CORPORATION,336062,MIJA RED SANGRIA NV - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/06/2020,04/21/2020,04/23/2020,17
DOPS INC,6335,WEIHENSTEPHAN ORIGINAL NR 20/CS - 16.9OZ,BEER,SB,177#####,BOOKED,CLOSED,1,1,04/07/2020,04/13/2020,04/15/2020,8
IMPERO WINE DISTRIBUTORS,62777,IMPERO PREMIUM MONTE PULCIANO 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/14/2020,04/22/2020,9
PRESTIGE BEVERAGE GROUP OF MD LLC,330186,CASA DE CAMPO MAL - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
DIONYSOS IMPORTS INC,425893,DON MANUEL VILLAFANE MALBEC 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/06/2020,04/09/2020,7
REPUBLIC NATIONAL DISTRIBUTING CO,402435,A TO Z RIES - 750ML,WINE,SC,177#####,CLOSED,OPEN,1,1,04/09/2020,04/14/2020,04/22/2020,13
CONSTANTINE WINES INC,354014,PIGRO CHIANTI CLASSICO DOCG - 750ML,WINE,LS,177#####,CLOSED,CLOSED,2,2,04/01/2020,04/06/2020,04/09/2020,8
LEGENDS LTD,99597,UNIBROUE TROIS PISTOLS 12/750,BEER,SB,177#####,CLOSED,OPEN,1,1,04/21/2020,04/28/2020,04/29/2020,8
BACCHUS IMPORTERS LTD,313253,RHIANNON RED - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/22/2020,04/27/2020,04/30/2020,8
LEGENDS LTD,12362,FLYING FISH BLUEBERRY BRAGGOT - 12OZ,BEER,SB,177#####,CLOSED,OPEN,1,1,04/22/2020,04/28/2020,04/30/2020,8
BACKUP BEVERAGE,69008,ARCO MOOSER LIESL 4/6 NR,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/09/2020,04/16/2020,13
LEGENDS LTD,63300,FIRESTONE MIND HAZE 4/6 CAN,BEER,SB,177#####,CLOSED,OPEN,1,1,04/15/2020,04/21/2020,04/23/2020,8
GRAPES OF SPAIN INC,406872,LUNA BEBERIDE MENCIA BIERZO - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/20/2020,04/23/2020,04/30/2020,10
SOUTHERN GLAZERS WINE AND SPIRITS,236950,FERRARI-CARANO A/V P/NOIR - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/08/2020,04/09/2020,04/15/2020,7
DIONYSOS IMPORTS INC,436372,HUNTERS S/BLC - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/06/2020,04/08/2020,5
MONSIEUR TOUTON SELECTION,108200,SUSANA BALBO CRIOS TORRONTES - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/06/2020,04/07/2020,04/08/2020,2
LEGENDS LTD,69549,LAGUNITAS LIL SUMPIN HAZY 2/12 CANS,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/02/2020,04/07/2020,04/08/2020,6
LUNEAU USA INC,363308,VILLA JAMIE P/GRIG - 750ML,WINE,S,178#####,BOOKED,,1,,04/28/2020,,,
LEGENDS LTD,26613,MAINE LUNCH NR 12/CS - 16.9OZ,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
PWSWN INC,354664,K CELLARS MERLOT BLACK LABEL - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/21/2020,04/27/2020,04/29/2020,8
"THE COUNTRY VINTNER, LLC DBA WINEBOW",200859,AGRICOLA DE BORJA TRES PICOS - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/20/2020,04/27/2020,04/29/2020,9
BUCK DISTRIBUTING COMPANY INC,69592,STONE BUENAVEZA LAGER 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,8,8,04/15/2020,04/22/2020,04/29/2020,14
DOPS INC,22414,ABITA STRAWBERRY 4/6 NR - 12OZ,BEER,SB,178#####,BOOKED,,1,,04/27/2020,,,
PUNTO VINO LLC,341983,ALCESTI SYR - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/13/2020,04/14/2020,04/16/2020,3
MONSIEUR TOUTON SELECTION,236490,PADDLE REEF S/BLC - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/26/2020,04/28/2020,04/30/2020,4
REPUBLIC NATIONAL DISTRIBUTING CO,84905,LINGANORE PEACH - 750ML,WINE,SC,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
LEGENDS LTD,69528,SOUTHERN TIER VANILLA WHIPPED 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/07/2020,04/13/2020,11
CABERNET CORPORATION,316751,DON RODOLFO P/NOIR - 750ML,WINE,S,177#####,BOOKED,OPEN,1,,04/14/2020,,,
OPICI FAMILY DISTRIBUTING OF MD,354176,OPICI MADEIRA - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/20/2020,04/22/2020,04/23/2020,3
LEGENDS LTD,26870,BALTIMORE BEER WORKS VARIETY 2/12NR - 12OZ,BEER,SB,177#####,CLOSED,CLOSED,3,3,04/01/2020,04/07/2020,04/09/2020,8
LANTERNA DISTRIBUTORS INC,354422,AU BON CLIMAT SANTA BARBERA CHARDONNAY- 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/09/2020,04/14/2020,04/15/2020,6
MICHAEL R DOWNEY SELECTIONS INC,106968,ADRIANO ADAMI PROSECCO BRUT - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/16/2020,04/20/2020,04/22/2020,6
LEGENDS LTD,68370,OSKAR BLUES ONE-Y 4/6 CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/16/2020,04/21/2020,04/28/2020,12
MONSIEUR TOUTON SELECTION,386065,VILLA FASSINI TOSCANA - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/14/2020,04/23/2020,15
YOUNG WON TRADING INC,23533,ORION DRAFT BEER 3/4 NR - 21.4OZ,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/13/2020,04/14/2020,04/15/2020,2
REPUBLIC NATIONAL DISTRIBUTING CO,23063,FULLERS LONDON PRIDE 4/6 NR - 11.2OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/06/2020,04/07/2020,04/08/2020,2
OPICI FAMILY DISTRIBUTING OF MD,84810,PEPPERWOOD GROVE CHARD - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/27/2020,04/28/2020,04/29/2020,2
LEGENDS LTD,99730,ERDINGER WEISS NR 12/CS - 16.9OZ,BEER,SB,177#####,CLOSED,OPEN,2,2,04/15/2020,04/21/2020,04/23/2020,8
REPUBLIC NATIONAL DISTRIBUTING CO,335642,CUL DE SAC P/GRIG - 750ML,WINE,S,177#####,BOOKED,OPEN,2,2,04/15/2020,04/17/2020,04/23/2020,8
LEGENDS LTD,8168,TUSKER 4/6NR - 12OZ,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
DOPS INC,390380,BROWNSTONE CHARD - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/08/2020,04/13/2020,04/15/2020,7
ELITE WINES IMPORTS,236468,FAIRFAX WINE CO P/NOIR - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/29/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",328963,MONTELLIANA FRIZZANTI - 750ML,WINE,SC,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/30/2020,7
THREE STARS BREWING COMPANY LLC,69589,3 STARS / UNION HOPPING UP HEAVENS 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/15/2020,04/22/2020,13
PRESTIGE BEVERAGE GROUP OF MD LLC,322899,BARGEMONE ROSE - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/06/2020,04/10/2020,04/15/2020,9
MONSIEUR TOUTON SELECTION,321993,CLOS AMADOR RSE TENDRE - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/15/2020,04/21/2020,04/23/2020,8
HUB WINE CORPORATION,341397,90+ CELLARS LOT 23 OLD VNS MALB - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/17/2020,04/21/2020,04/22/2020,5
KYSELA PERE ET FILS LTD,411362,BURGO VIEJO RIOJA TINTO - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/22/2020,04/28/2020,04/29/2020,7
LEGENDS LTD,12537,SOUTHERN TIER OVERPACK'D - 12.OZ,BEER,SB,178#####,BOOKED,,10,,04/26/2020,,,
LEGENDS LTD,69328,FOUNDERS UNRAVELED 4/6 CANS,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
MACK & SCHUHLE INC,233644,ART OF EARTH RIES ORG - 750ML,WINE,LS,178#####,BOOKED,,1,,04/28/2020,,,
THREE STARS BREWING COMPANY LLC,60330,3 STARS CITRA LEMON SAISON 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/15/2020,04/15/2020,04/21/2020,6
REPUBLIC NATIONAL DISTRIBUTING CO,333717,BOTA BRICK P/GRIG - 1.5L,WINE,LS,178#####,BOOKED,OPEN,5,,04/28/2020,04/30/2020,,
LEGENDS LTD,63526,AUSTIN ROSE CIDER 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/07/2020,04/14/2020,12
LANTERNA DISTRIBUTORS INC,349762,FOLLY OF THE BEAST PINOT NOIR - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/27/2020,04/28/2020,04/30/2020,3
OPICI FAMILY DISTRIBUTING OF MD,321392,CARPINETO DOGAJOLO ROSSO - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/21/2020,04/22/2020,04/29/2020,8
DIAGEO NORTH AMERICA INC,63129,SMIRNOFF ICE SMASH SCREWDRIVER 23.5OZ CAN,BEER,SB,178#####,BOOKED,OPEN,1,,04/27/2020,04/28/2020,,
GRAPES OF SPAIN INC,317500,U MES U FAN CAVA BRUT - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/23/2020,04/30/2020,8
LEGENDS LTD,63808,ACE CIDER JOKER 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/01/2020,04/07/2020,04/09/2020,8
LEGENDS LTD,69583,HI-CURRENT VARIETY SELTZER 2/12 CANS,BEER,SB,177#####,CLOSED,OPEN,2,2,04/18/2020,04/28/2020,04/30/2020,12
IMPERO WINE DISTRIBUTORS VIRGINIA INC,62393,IMPERO PREMIUM MERLOT 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/20/2020,04/21/2020,04/22/2020,2
OSLO ENTERPRISE,383074,DOM LA CROIX BELLE CARING RED - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/15/2020,04/20/2020,04/23/2020,8
"THE COUNTRY VINTNER, LLC DBA WINEBOW",167681,HAHN EST CHARD - 750ML,WINE,S,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/30/2020,7
PRESTIGE BEVERAGE GROUP OF MD LLC,328749,MANU S/BLC - 750ML,WINE,S,178#####,BOOKED,OPEN,1,,04/29/2020,04/30/2020,,
INTERBALT PRODUCTS CORP,313495,SANTERO STRAWBERRY MOSCATO - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/14/2020,04/16/2020,3
LANTERNA DISTRIBUTORS INC,354408,PORTAL DA CALCADA DOURO TINTO - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/07/2020,04/08/2020,04/08/2020,1
WI INC,62417,CHAKRAS MALBEC 750ML,WINE,LS,177#####,BOOKED,,1,,04/22/2020,,,
A I G WINE & SPIRITS,335452,LES FONTANELLES P/NOIR - 750ML,WINE,S,177#####,BOOKED,,1,1,04/15/2020,,04/23/2020,8
KYSELA PERE ET FILS LTD,310291,MAURICE ECARD BOURGOGNE P/NOIR - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,1,04/20/2020,04/28/2020,04/29/2020,9
TROEGS BREWING COMPANY,60046,TROEGS PERPETUAL IPA 2/12 CANS,BEER,SB,177#####,BOOKED,,1,,04/06/2020,,,
ARTISANS & VINES LLC,353860,KOSTER WOLF ST LAURENT ALBIGER TROCKEN - 750ML,WINE,LS,178#####,CLOSED,CLOSED,2,2,04/24/2020,04/27/2020,04/30/2020,6
SAN ANTONIO WINERY INC,349460,STELLA ROSA ROSE - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,,04/21/2020,,,
MICHAEL R DOWNEY SELECTIONS INC,306324,VIETTI CASCINETTA MOSCATO - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/09/2020,04/13/2020,04/15/2020,6
WILLIAMS CORNER WINE,341838,EARLY MT VYDS VINTNERS ARE FARMERS ROSE - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/13/2020,04/21/2020,04/23/2020,10
SOUTHERN GLAZERS WINE AND SPIRITS,238882,JAM CELLARS SUGAR SWEET WHITE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/20/2020,04/23/2020,04/28/2020,8
BUCK DISTRIBUTING COMPANY INC,69246,MONUMENT CITY BATTE IPA 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/15/2020,04/17/2020,9
PWSWN INC,349673,CHOROY CABERNET/MERLOT - 1.5L,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/16/2020,04/20/2020,04/22/2020,6
DMV DISTRIBUTING LLC,237732,CASA SANTOS LIMA CONFIDENCIAL RESA ROSE - 750ML,WINE,LS,177#####,CLOSED,CLOSED,2,2,04/11/2020,04/16/2020,04/22/2020,11
NEXTERRA WINE COMPANY,64023,COOPER'S HAWK PETITE SIRAH 750ML,WINE,LS,177#####,CLOSED,OPEN,4,4,04/14/2020,04/16/2020,04/22/2020,8
LANTERNA DISTRIBUTORS INC,319922,CANALS CANALS RES BRUT - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/07/2020,04/08/2020,04/08/2020,1
MONSIEUR TOUTON SELECTION,311906,TERRAVEGA MER - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/14/2020,04/23/2020,15
CONSTANTINE WINES INC,401072,STEPHEN VINCENT CHARD - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/06/2020,04/13/2020,04/16/2020,10
IMPERO WINE DISTRIBUTORS VIRGINIA INC,62541,TINAZZI RIPASSO SUPERIORE 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/14/2020,04/16/2020,3
LEGENDS LTD,26392,SAISON DUPONT 6/4NR - 11.2OZ,BEER,SB,177#####,CLOSED,OPEN,1,1,04/22/2020,04/28/2020,04/30/2020,8
