the_geom,OBJECTID,Zone,District,Shape_Length,Shape_Area
"MULTIPOLYGON (((-90.066369220964 29.952823501324, -90.067199050135 29.951901302081, -90.067550995736 29.952140528061, -90.067756697667 29.952280336564, -90.06817777745 29.952566535343, -90.069089233014 29.953186071059, -90.06865915888 29.95366142743, -90.068256593058 29.954106357585, -90.067874168297 29.954534126758, -90.066858252656 29.955670331405, -90.066322187233 29.956271380658, -90.065470581719 29.957226226283, -90.064394619134 29.958431051483, -90.063989905434 29.958877927435, -90.063003275507 29.958207967332, -90.062043148954 29.957555992605, -90.064965162383 29.954381736167, -90.065946220429 29.953292949732, -90.066369220964 29.952823501324)))",1883,8C,8,6792.1676884834824,2012342.9277720498
"MULTIPOLYGON (((-90.096467011995 29.941449343777, -90.097551137724 29.941033255004, -90.097613397796 29.941291349907, -90.09827661755 29.942931485568, -90.098331767231 29.943067825418, -90.098352436867 29.94311988486, -90.098421461765 29.94329353478, -90.099321641766 29.945558184776, -90.09932451909 29.945565526114, -90.098483192422 29.94590402275, -90.098353642996 29.946010221422, -90.095460462267 29.947633330738, -90.094226845572 29.948325360189, -90.093643698178 29.948658170604, -90.093470877767 29.948756779598, -90.0933268888 29.948875707563, -90.09066678617 29.945792067443, -90.090055223561 29.945083116445, -90.090801386104 29.944649479375, -90.091289238909 29.944365941283, -90.092460092103 29.943711489914, -90.092516849527 29.94367976786, -90.092916415374 29.943456441256, -90.093262973382 29.943262697719, -90.093462023093 29.943151438853, -90.09458025612 29.942526365484, -90.096467011995 29.941449343777)))",1855,6K,6,8518.7485445773091,4324270.4212611923
"MULTIPOLYGON (((-90.100235367426 29.920908067527, -90.100332653921 29.921902041775, -90.101588500206 29.92179874531, -90.101696997531 29.922856510732, -90.101885870716 29.924689448479, -90.101995011 29.925748752108, -90.102065158654 29.926488526222, -90.098552328656 29.926755871166, -90.097596202437 29.926832143617, -90.096063710331 29.92695438666, -90.095858547365 29.926970743217, -90.095354850463 29.927042949652, -90.094754510063 29.927133246107, -90.094685619128 29.927143597429, -90.093676664815 29.927446328668, -90.092595485398 29.927836508001, -90.092470405682 29.92788166491, -90.091434917102 29.928255491504, -90.091365414098 29.92811199979, -90.09115310437 29.927669830804, -90.090818763863 29.926977468237, -90.090681287921 29.926694679422, -90.090308401272 29.925919120268, -90.090068912842 29.925431867008, -90.089791780094 29.924854524317, -90.089764140354 29.924797502837, -90.089336959482 29.923916075712, -90.088892766036 29.923004620459, -90.090041549126 29.922577408266, -90.090848142392 29.922355321701, -90.091642568012 29.922136580826, -90.093256856531 29.921668358235, -90.094984077404 29.921307604408, -90.097988919018 29.921084976364, -90.099122208243 29.920986658752, -90.100231349134 29.92090837451, -90.100235367426 29.920908067527)))",1860,6P,6,11703.35434309978,7651238.1031460231
"MULTIPOLYGON (((-90.108388478789 29.934966670462, -90.107283322186 29.934929426107, -90.104139136712 29.935172199107, -90.102959588374 29.935263252722, -90.102915664618 29.934848802456, -90.102858023046 29.934304891309, -90.102065158654 29.926488526222, -90.103324246522 29.926388104935, -90.104051546793 29.926334183474, -90.10443213414 29.926305977403, -90.105321254219 29.92623235818, -90.105574350767 29.926212500563, -90.106349676652 29.926152607021, -90.106649242436 29.92613290559, -90.106814912225 29.926128950393, -90.107240639634 29.926113889328, -90.107534408091 29.926136839727, -90.107717820071 29.926168881618, -90.107945492908 29.926216487582, -90.108203498364 29.9262904726, -90.108442544528 29.926386281404, -90.108573424725 29.926441400038, -90.108804981963 29.926545553531, -90.108810223517 29.926548049166, -90.111521302328 29.927830913672, -90.113003435805 29.928519025024, -90.113327478788 29.928669430253, -90.114397184527 29.929176352858, -90.116511643035 29.930178308352, -90.117003753852 29.930463578246, -90.118068335475 29.931080671663, -90.117039858421 29.933786041874, -90.116188102531 29.935994711992, -90.116034890378 29.936392016238, -90.115793611918 29.936274805589, -90.115327261669 29.936117150058, -90.114519713493 29.935913844666, -90.113240278361 29.935619285193, -90.112566221812 29.935484002933, -90.111214303407 29.93521264921, -90.110302825442 29.935035631995, -90.108388478789 29.934966670462)))",1784,2I,2,14995.498757484162,13187987.296993777
"MULTIPOLYGON (((-90.065506929482 29.939167408165, -90.064303756087 29.939143020812, -90.064113233067 29.937943858958, -90.064105784641 29.937826829142, -90.064113681328 29.937650327061, -90.064131882492 29.93754751483, -90.064172878794 29.937380187451, -90.064198798915 29.937233834939, -90.064212919503 29.937069438563, -90.06421424386 29.936957884196, -90.064210872617 29.936421022577, -90.064199766382 29.935496748667, -90.064192049666 29.934896926142, -90.063776078209 29.934948049729, -90.058002930836 29.935616123624, -90.05814672568 29.934446756675, -90.058373699462 29.933214202986, -90.066228803469 29.934036749533, -90.066503183669 29.934078579475, -90.069526289496 29.93475090929, -90.06964137476 29.934863142537, -90.070617577347 29.935079674362, -90.071667391451 29.935313045764, -90.072152968024 29.935422779875, -90.072148188074 29.935438793749, -90.071317987765 29.938254920911, -90.070609286224 29.940658469313, -90.07045401632 29.941180992189, -90.070126244486 29.940980203116, -90.069503233284 29.940580749365, -90.068869967616 29.940176024263, -90.068650524432 29.94007587781, -90.06798836427 29.939843763155, -90.067465534055 29.939665098607, -90.065854639573 29.939199331191, -90.065506929482 29.939167408165)))",1847,6C,6,13163.39260210111,5747707.4790569479
"MULTIPOLYGON (((-90.073098204284 29.942325569464, -90.07210558769 29.941802797554, -90.071939979503 29.941749674548, -90.071197629958 29.941535068562, -90.070990601978 29.941469033975, -90.070750682938 29.941349774873, -90.07045401632 29.941180992189, -90.070609286224 29.940658469313, -90.071317987765 29.938254920911, -90.072148188074 29.935438793749, -90.072152968024 29.935422779875, -90.072503607142 29.934244766834, -90.07272986636 29.933484579325, -90.07276537704 29.933365321737, -90.073020994202 29.9324527621, -90.073087220213 29.932216290366, -90.074194896326 29.931334933813, -90.074646496459 29.930975567251, -90.076761785851 29.929608989809, -90.077529435459 29.930499181454, -90.080632285368 29.934097166942, -90.080595516402 29.934121155364, -90.079697635888 29.934706519344, -90.079286930646 29.934977440408, -90.078958048876 29.935194359717, -90.078717156064 29.935361408439, -90.078388148693 29.935625680466, -90.078330418155 29.935671934725, -90.077988691724 29.935945709414, -90.077677145432 29.936204564197, -90.077610203664 29.936270199441, -90.077533005183 29.936350506245, -90.076540992602 29.937680531196, -90.075650486654 29.938883863533, -90.074970874773 29.939802245859, -90.07326035934 29.942119580074, -90.073254999482 29.94211644853, -90.073098204284 29.942325569464)))",1849,6E,6,11720.82495414296,6960521.3084938806
"MULTIPOLYGON (((-90.089234832341 29.945639798789, -90.090055223561 29.945083116445, -90.09066678617 29.945792067443, -90.0933268888 29.948875707563, -90.093306214102 29.948892783143, -90.093177323899 29.949029039758, -90.090913263847 29.952055085127, -90.090233663112 29.952964084428, -90.089286337709 29.954231127718, -90.088610407521 29.953754981283, -90.088090127979 29.953398581796, -90.087622299931 29.953153969151, -90.087202972622 29.952945344735, -90.087094163433 29.952891211863, -90.086628887389 29.95262209005, -90.086356196428 29.952400083596, -90.086107467872 29.952143242252, -90.08590924925 29.951875136793, -90.085711977637 29.951533944263, -90.08524794664 29.950615831041, -90.085321713482 29.950522507829, -90.085448293262 29.950362421714, -90.085619251429 29.950148388097, -90.085688449211 29.950061732119, -90.085805514176 29.949947781957, -90.085994199181 29.949717609071, -90.086330935175 29.949289298932, -90.086590281394 29.948938438067, -90.086835827447 29.948589947831, -90.087290882217 29.947974160802, -90.087661149487 29.947471916006, -90.087844412618 29.947222548388, -90.087934405296 29.947096295335, -90.088030408639 29.946961574865, -90.088366282709 29.946512297137, -90.08868350248 29.946115284062, -90.088909793817 29.945879109264, -90.089166031064 29.945689995949, -90.089224672146 29.94564671483, -90.089234832341 29.945639798789)))",1856,6L,6,8485.6362801551586,4504236.9478303241
"MULTIPOLYGON (((-90.076884725609 29.946294227898, -90.076886296728 29.946169447559, -90.078128617591 29.946487627948, -90.07861447363 29.946612629287, -90.079088602247 29.946804067185, -90.079617540367 29.947127035465, -90.081052541902 29.947787004989, -90.081442554505 29.947968504022, -90.082522281034 29.948470966923, -90.083123985953 29.948736669708, -90.083602180554 29.948947819956, -90.084372316221 29.949406214721, -90.085078310574 29.950832543703, -90.084847790173 29.951117428176, -90.084475291431 29.951578779313, -90.084141932724 29.951988307149, -90.083789005176 29.952406942153, -90.082685321975 29.953640691834, -90.082550162617 29.953791811321, -90.082285167158 29.954112471639, -90.082053263313 29.954393075961, -90.08127552465 29.95529328488, -90.080941199569 29.955629342441, -90.080770997382 29.955809250464, -90.080579875917 29.956010270613, -90.0801932074 29.956412487179, -90.079787170216 29.956868034597, -90.079159800433 29.957575706325, -90.07900676789 29.957748322428, -90.078646434388 29.958154774248, -90.077812224462 29.959095729191, -90.074670858647 29.956967831796, -90.073423072009 29.956122586846, -90.074399284651 29.955038916779, -90.074580245948 29.954838029331, -90.07478962947 29.954587114294, -90.074962558602 29.954389420976, -90.075069878039 29.954168248434, -90.075132986275 29.95400189917, -90.075250937804 29.95363119999, -90.075360251957 29.953256623348, -90.075496777418 29.952795021603, -90.075596579079 29.952481073738, -90.075654617842 29.952263361537, -90.075671019608 29.952162180976, -90.075700024258 29.951983130488, -90.075710340529 29.951851092401, -90.07572038339 29.951640621024, -90.075714880685 29.951576108756, -90.075707887025 29.951494586968, -90.075695548622 29.951361094484, -90.075687452078 29.951219198588, -90.075693557175 29.951028023402, -90.075731051233 29.950794191343, -90.075764610479 29.950642052694, -90.07582676486 29.950448524237, -90.07589169667 29.950222434714, -90.07597311249 29.949943812555, -90.07605296723 29.949686268615, -90.076108083896 29.949492233377, -90.076123549123 29.949437766569, -90.076191402107 29.949197789726, -90.076509607441 29.948150468146, -90.076620563248 29.947762568319, -90.076798935413 29.947011020377, -90.076869895126 29.946659560981, -90.076884725609 29.946294227898)))",1890,8J,8,12636.27453384247,9038593.4429598209
"MULTIPOLYGON (((-90.057778336575 29.945206678537, -90.058610013955 29.945171893733, -90.058861932609 29.948101959605, -90.058903724399 29.948587959819, -90.058912334142 29.948949805761, -90.058927165778 29.949571202221, -90.058944234626 29.95022267807, -90.058973613879 29.951344358088, -90.058987377038 29.951869053866, -90.058726896289 29.954300445785, -90.057007382113 29.956645037985, -90.056609235019 29.956786485837, -90.054826159701 29.957816592764, -90.054444774488 29.958036929088, -90.052623263831 29.958564098509, -90.051493833245 29.958632163652, -90.050555237321 29.958688715759, -90.050186425309 29.958674339195, -90.04873135421 29.958617517593, -90.048660837519 29.958614766678, -90.046613528097 29.958422888619, -90.047536245944 29.957037574385, -90.048817580384 29.955113757502, -90.049205541964 29.948750929654, -90.049248377167 29.948082326542, -90.04929938925 29.947286175399, -90.049408833429 29.945578362225, -90.052197611251 29.945447146439, -90.052201245452 29.945446989651, -90.053233717551 29.945400525917, -90.053459844423 29.945390350786, -90.054445017913 29.945346003241, -90.057778336575 29.945206678537)))",1826,4F,4,15596.136945876544,14295391.30637241
"MULTIPOLYGON (((-90.077807226631 29.959101373655, -90.077812224462 29.959095729191, -90.078974946689 29.959887705781, -90.082242640574 29.962113334531, -90.082747167818 29.962455966923, -90.08735352718 29.965583910461, -90.082836713518 29.970780729864, -90.080294389242 29.969061731065, -90.079784995634 29.968717284135, -90.077661645572 29.967281484649, -90.074893850131 29.965448576905, -90.0731660068 29.964304271289, -90.073972062903 29.963398990255, -90.074377449583 29.962934105591, -90.074924541301 29.962306675459, -90.075861167143 29.961265268352, -90.076977334773 29.960024160302, -90.077345295537 29.959614982609, -90.077807226631 29.959101373655)))",1772,1I,1,12465.032665379831,9159329.5862696655
