School Code,Borough Name,DOB#,Inspection Category,Inspection Date,Date Requested,Request Status Description
PS000Q,QUEENS,402890626,FINALCONSTRUCTION,04/22/2020 09:00:00 AM,04/21/2020 06:01:36 PM,COMPLETED
PS000Q,QUEENS,402891803,FINALCONSTRUCTION,04/28/2020 02:15:00 PM,04/28/2020 01:10:55 PM,SCHEDULED
PS000Q,QUEENS,402892296,SPRINKLERSTANDPIPE,04/03/2020 09:00:00 AM,04/03/2020 08:54:23 AM,COMPLETED
PS000Q,QUEENS,421104281,SPRINKLERSTANDPIPE,04/01/2020 07:00:00 AM,03/25/2020 02:29:21 PM,CANCELLED
PS000Q,QUEENS,421104281,SPRINKLERSTANDPIPE,04/03/2020 11:00:00 AM,03/30/2020 11:53:43 AM,CANCELLED
PS000Q,QUEENS,421104281,SPRINKLERSTANDPIPE,04/08/2020 07:00:00 AM,03/25/2020 02:31:53 PM,CANCELLED
PS000Q,QUEENS,421104281,SPRINKLERSTANDPIPE,04/15/2020 07:00:00 AM,03/25/2020 02:33:57 PM,CANCELLED
PS000Q,QUEENS,421104281,SPRINKLERSTANDPIPE,04/22/2020 07:00:00 AM,03/25/2020 02:50:04 PM,CANCELLED
PS000Q,QUEENS,421104281,SPRINKLERSTANDPIPE,04/29/2020 07:00:00 AM,03/25/2020 02:52:02 PM,CANCELLED
PS000Q,QUEENS,421105093,FINALCONSTRUCTION,04/07/2020 09:00:00 AM,03/26/2020 11:07:56 AM,CANCELLED
PS000Q,QUEENS,421105093,FINALCONSTRUCTION,04/20/2020 09:00:00 AM,03/26/2020 11:08:56 AM,CANCELLED
PS000Q,QUEENS,421105093,FINALCONSTRUCTION,04/20/2020 09:00:00 AM,03/26/2020 11:09:45 AM,CANCELLED
PS000Q,QUEENS,421105093,FINALCONSTRUCTION,04/27/2020 09:00:00 AM,03/26/2020 11:10:46 AM,CANCELLED
PS000Q,QUEENS,421105093,HVAC,04/01/2020 07:00:00 AM,03/24/2020 02:30:21 PM,CANCELLED
PS000Q,QUEENS,421105093,HVAC,04/01/2020 01:30:00 PM,03/13/2020 08:10:07 AM,CANCELLED
PS000Q,QUEENS,421105093,HVAC,04/08/2020 07:00:00 AM,03/10/2020 02:25:50 PM,CANCELLED
PS000Q,QUEENS,421105093,HVAC,04/15/2020 01:00:00 PM,03/10/2020 02:29:34 PM,CANCELLED
PS000Q,QUEENS,421105093,HVAC,04/22/2020 01:00:00 PM,03/10/2020 02:30:09 PM,CANCELLED
PS000Q,QUEENS,421105093,HVAC,04/29/2020 01:00:00 PM,03/10/2020 02:30:46 PM,CANCELLED
PS000Q,QUEENS,421105093,HVACSYSTEMSTESTING,04/01/2020 07:00:00 AM,03/25/2020 08:56:28 AM,CANCELLED
PS000Q,QUEENS,421105093,MASONRY,04/03/2020 01:00:00 PM,03/26/2020 01:45:07 PM,CANCELLED
PS000Q,QUEENS,421105093,MASONRY,04/06/2020 10:00:00 AM,03/26/2020 12:56:15 PM,CANCELLED
PS000Q,QUEENS,421105093,MASONRY,04/10/2020 01:00:00 PM,03/26/2020 01:50:55 PM,CANCELLED
PS000Q,QUEENS,421105093,MASONRY,04/13/2020 10:00:00 AM,03/26/2020 12:58:07 PM,CANCELLED
PS000Q,QUEENS,421105093,MASONRY,04/17/2020 01:00:00 PM,03/26/2020 01:54:44 PM,CANCELLED
PS000Q,QUEENS,421105093,MASONRY,04/20/2020 01:00:00 PM,03/26/2020 12:59:00 PM,CANCELLED
PS000Q,QUEENS,421105093,MASONRY,04/24/2020 01:00:00 PM,03/26/2020 01:59:25 PM,CANCELLED
PS000Q,QUEENS,421105093,MASONRY,04/27/2020 01:00:00 PM,03/26/2020 12:59:50 PM,CANCELLED
PS000Q,QUEENS,421105093,PLUMBING,04/01/2020 07:00:00 AM,03/25/2020 02:16:57 PM,CANCELLED
PS000Q,QUEENS,421105093,PLUMBING,04/03/2020 10:00:00 AM,03/30/2020 11:53:12 AM,CANCELLED
PS000Q,QUEENS,421105093,PLUMBING,04/08/2020 07:00:00 AM,03/25/2020 02:22:43 PM,CANCELLED
PS000Q,QUEENS,421105093,PLUMBING,04/15/2020 07:00:00 AM,03/25/2020 02:23:37 PM,CANCELLED
PS000Q,QUEENS,421105093,PLUMBING,04/22/2020 07:00:00 AM,03/25/2020 02:21:45 PM,CANCELLED
PS000Q,QUEENS,421105093,PLUMBING,04/29/2020 07:00:00 AM,03/25/2020 02:24:36 PM,CANCELLED
PS000Q,QUEENS,421105093,POWERANDLIGHTING,04/07/2020 08:30:00 AM,03/26/2020 01:02:33 PM,CANCELLED
PS000Q,QUEENS,421105093,POWERANDLIGHTING,04/14/2020 08:30:00 AM,03/26/2020 01:04:49 PM,CANCELLED
PS000Q,QUEENS,421105093,POWERANDLIGHTING,04/21/2020 08:30:00 AM,03/26/2020 01:05:39 PM,CANCELLED
PS000Q,QUEENS,421105093,POWERANDLIGHTING,04/28/2020 08:30:00 AM,03/26/2020 01:07:23 PM,CANCELLED
PS000Q,QUEENS,421105191,BOILER,04/06/2020 07:00:00 AM,03/23/2020 10:05:17 AM,CANCELLED
PS000Q,QUEENS,421105191,BOILER,04/20/2020 07:00:00 AM,03/23/2020 10:07:06 AM,CANCELLED
PS000Q,QUEENS,421105191,HVAC,04/02/2020 08:00:00 AM,02/26/2020 10:51:44 AM,CANCELLED
PS000Q,QUEENS,421105191,HVAC,04/09/2020 08:00:00 AM,02/28/2020 11:58:32 AM,CANCELLED
PS000Q,QUEENS,421105191,HVAC,04/16/2020 07:00:00 AM,03/23/2020 10:15:59 AM,CANCELLED
PS000Q,QUEENS,421105191,HVAC,04/23/2020 07:00:00 AM,03/23/2020 10:16:22 AM,CANCELLED
PS000Q,QUEENS,421105191,HVAC,04/30/2020 07:00:00 AM,03/23/2020 10:16:46 AM,CANCELLED
PS000Q,QUEENS,421105191,LOWVOLTAGE,04/03/2020 07:00:00 AM,03/23/2020 11:27:36 AM,CANCELLED
PS000Q,QUEENS,421105191,LOWVOLTAGE,04/10/2020 07:00:00 AM,03/23/2020 11:28:06 AM,CANCELLED
PS000Q,QUEENS,421105191,LOWVOLTAGE,04/17/2020 10:00:00 AM,03/23/2020 11:29:11 AM,CANCELLED
PS000Q,QUEENS,421105191,LOWVOLTAGE,04/24/2020 09:00:00 AM,03/23/2020 11:30:02 AM,CANCELLED
PS000Q,QUEENS,421105191,MASONRY,04/02/2020 07:00:00 AM,02/26/2020 10:35:17 AM,CANCELLED
PS000Q,QUEENS,421105191,PLUMBING,04/03/2020 07:00:00 AM,03/23/2020 11:21:39 AM,CANCELLED
PS000Q,QUEENS,421105191,PLUMBING,04/10/2020 07:00:00 AM,03/23/2020 11:22:05 AM,CANCELLED
PS000Q,QUEENS,421105191,PLUMBING,04/17/2020 07:00:00 AM,03/23/2020 11:22:34 AM,CANCELLED
PS000Q,QUEENS,421105191,PLUMBING,04/24/2020 07:00:00 AM,03/23/2020 11:23:03 AM,CANCELLED
PS000Q,QUEENS,421105191,POWERANDLIGHTING,04/03/2020 09:00:00 AM,03/23/2020 11:25:46 AM,CANCELLED
PS000Q,QUEENS,421105191,POWERANDLIGHTING,04/10/2020 09:00:00 AM,03/23/2020 11:26:12 AM,CANCELLED
PS000Q,QUEENS,421105191,POWERANDLIGHTING,04/17/2020 08:00:00 AM,03/23/2020 11:26:36 AM,CANCELLED
PS000Q,QUEENS,421105191,POWERANDLIGHTING,04/24/2020 07:00:00 AM,03/23/2020 11:26:58 AM,CANCELLED
PS000Q,QUEENS,421105672,SPRINKLERSTANDPIPE,04/03/2020 08:00:00 AM,03/23/2020 11:23:58 AM,CANCELLED
PS000Q,QUEENS,421105672,SPRINKLERSTANDPIPE,04/10/2020 08:00:00 AM,03/23/2020 11:24:24 AM,CANCELLED
PS000Q,QUEENS,421105672,SPRINKLERSTANDPIPE,04/24/2020 08:00:00 AM,03/23/2020 11:25:12 AM,CANCELLED
PS000Q,QUEENS,421105681,FUELSTORAGEBURNER,04/13/2020 09:00:00 AM,03/23/2020 10:06:43 AM,CANCELLED
PS000Q,QUEENS,421105681,FUELSTORAGEBURNER,04/27/2020 07:00:00 AM,03/23/2020 10:07:31 AM,CANCELLED
PS000R,STATEN ISLAND,500870747,BOILER,04/06/2020 11:00:00 AM,04/03/2020 01:19:17 PM,COMPLETED
PS000R,STATEN ISLAND,500870747,BOILER,04/07/2020 09:00:00 AM,04/02/2020 07:35:41 AM,CANCELLED
PS000R,STATEN ISLAND,500870747,BOILER,04/29/2020 09:00:00 AM,04/29/2020 08:16:52 AM,COMPLETED
PS000R,STATEN ISLAND,500870747,POWERANDLIGHTING,04/01/2020 11:00:00 AM,03/11/2020 09:19:49 AM,CANCELLED
PS000R,STATEN ISLAND,500870747,ROOFING,04/02/2020 07:00:00 AM,03/30/2020 11:11:59 AM,CANCELLED
PS000R,STATEN ISLAND,500870747,ROOFING,04/06/2020 07:00:00 AM,03/30/2020 11:15:22 AM,CANCELLED
PS000R,STATEN ISLAND,500870756,LOWVOLTAGE,04/01/2020 09:00:00 AM,03/11/2020 09:18:35 AM,CANCELLED
PS000R,STATEN ISLAND,500870863,SPRINKLERSTANDPIPE,04/29/2020 08:00:00 AM,04/29/2020 07:23:26 AM,COMPLETED
PS000R,STATEN ISLAND,500872978,LOWVOLTAGE,04/22/2020 09:00:00 AM,04/20/2020 11:45:29 AM,OPEN
PS000R,STATEN ISLAND,500875047,ROOFING,04/01/2020 11:00:00 AM,03/30/2020 12:19:00 PM,CANCELLED
PS000R,STATEN ISLAND,500875270,SPRINKLERSTANDPIPE,04/08/2020 09:00:00 AM,04/07/2020 02:20:28 PM,COMPLETED
PS001R,STATEN ISLAND,500875323,PLUMBING,04/14/2020 01:00:00 PM,10/01/2019 03:51:37 PM,CANCELLED
PS001R,STATEN ISLAND,500875323,PLUMBING,04/28/2020 01:00:00 PM,10/01/2019 03:52:52 PM,CANCELLED
PS001R,STATEN ISLAND,500876527,MASONRY,04/09/2020 01:00:00 PM,04/08/2020 07:59:23 AM,COMPLETED
PS001R,STATEN ISLAND,500876527,MASONRY,04/16/2020 01:00:00 PM,04/09/2020 11:37:55 AM,COMPLETED
PS001R,STATEN ISLAND,500876527,MASONRY,04/23/2020 01:00:00 PM,04/15/2020 03:33:27 PM,COMPLETED
PS001R,STATEN ISLAND,500876527,MASONRY,04/30/2020 01:00:00 PM,04/21/2020 01:14:58 PM,COMPLETED
PS003R,STATEN ISLAND,500870774,FINALCONSTRUCTION,04/17/2020 10:00:00 AM,04/16/2020 10:03:22 AM,COMPLETED
PS003R,STATEN ISLAND,500870774,POWERANDLIGHTING,04/02/2020 09:00:00 AM,03/18/2020 06:13:05 PM,CANCELLED
PS003R,STATEN ISLAND,500870774,POWERANDLIGHTING,04/02/2020 10:00:00 AM,03/12/2020 04:41:47 PM,CANCELLED
PS003R,STATEN ISLAND,500870774,POWERANDLIGHTING,04/02/2020 10:30:00 AM,04/02/2020 08:43:38 AM,COMPLETED
PS003R,STATEN ISLAND,500870943,BOILER,04/13/2020 09:00:00 AM,04/09/2020 04:57:25 PM,COMPLETED
PS003R,STATEN ISLAND,500870943,PLUMBING,04/10/2020 09:00:00 AM,04/09/2020 04:45:49 PM,COMPLETED
