Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0199QQ1,2002.03,6171,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2003.03,6586,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2004.03,7195,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2005.03,7920,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2006.03,8733,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2007.03,9383,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2008.03,10319,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2009.03,11259,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2010.03,11958,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2011.03,12337,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
RNAA.SG01NAC34B0199QQ1,2012.03,12665,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Health Care and Social Assistance,,
