Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
EAST NORTH CENTRAL,2020,1,1,,17,,1,,5,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200114,
WEST VIRGINIA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
NEVADA,2020,1,,-,1,,,-,1,,,-,0,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
ALABAMA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
SOUTH ATLANTIC,2020,1,,-,28,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200128,
SOUTH DAKOTA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
MOUNTAIN,2020,1,,-,13,,,-,1,,,-,0,,,-,,-,,MOUNTAIN,20200148,
COLORADO,2020,1,,-,6,,,-,,-,,-,0,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552)
FLORIDA,2020,1,,-,21,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
CALIFORNIA,2020,1,,-,23,,,-,3,,,-,0,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
TEXAS,2020,1,,-,66,,,-,6,,,-,0,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238)
UTAH,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
SOUTH CAROLINA,2020,1,,-,19,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
TENNESSEE,2020,1,,-,21,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
NEBRASKA,2020,1,,-,19,,,-,2,,,-,0,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
ARIZONA,2020,1,,-,10,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NEW MEXICO,2020,1,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
MICHIGAN,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
KANSAS,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
IOWA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,IOWA,,20200121,POINT (-93.500061 42.074659)
VERMONT,2020,1,,-,1,,,-,1,,,-,0,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
INDIANA,2020,1,,-,13,,,-,1,,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
ALASKA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
LOUISIANA,2020,1,,-,19,,,-,1,,,-,0,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WYOMING,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
WEST NORTH CENTRAL,2020,1,2,,23,,2,,4,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200120,
MISSISSIPPI,2020,1,,-,5,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
TOTAL,2020,6,16,,110,,141,,190,,,-,0,,,-,,-,,TOTAL,20200670,
NEW HAMPSHIRE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,1,,4,,9,,2,,,-,0,,,-,,-,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,29,,12,,16,,,-,0,,,-,,-,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,,-,57,,5,,45,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,21,,,-,5,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,3,,,-,5,,,-,0,,,-,,-,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
US RESIDENTS,2020,2,10,,110,,23,,52,,,-,0,,,-,,-,,US RESIDENTS,20200201,
NEVADA,2020,6,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,7,,4,,18,,,-,0,,,-,,-,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,2,,,-,3,,,-,0,,,-,,-,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,,-,42,,4,,27,,,-,0,,,-,,-,TEXAS,,20200647,POINT (-99.317341 31.447238)
