the_geom,OBJECTID,JURISDICTIONS_ID,CITY_NAME,JURISDICTION_LABEL,MODIFIED_FIPS,JURISDICTION_TYPE_SPECIFICS,JURISDICTION_TYPE,Shape__Area,Shape__Length
"MULTIPOLYGON (((-97.705408909046 30.136788014546, -97.705522504834 30.136606432904, -97.7057305156 30.136705645824, -97.705616888682 30.136887199036, -97.705408909046 30.136788014546)))",282,555,CITY OF AUSTIN,AUSTIN 2 MILE ETJ,202,2 MILE ETJ,2MILE,5637.60546875,300.337226557674
"MULTIPOLYGON (((-97.660001677863 30.327453262282, -97.660002084475 30.32745259038, -97.66036503538 30.327577422335, -97.660543141312 30.327638678977, -97.660922403689 30.327806707879, -97.660941764561 30.32781528592, -97.660810079981 30.327824862756, -97.660648584877 30.327836516983, -97.659951618511 30.327886808835, -97.659953682438 30.327868933698, -97.659999222573 30.327474525743, -97.660001677863 30.327453262282)))",407,400514093,CITY OF AUSTIN,AUSTIN 2 MILE ETJ,202,2 MILE ETJ,2MILE,25697.140625,797.050490789066
"MULTIPOLYGON (((-97.758052137713 30.508812524261, -97.758372238619 30.508617285293, -97.758418799538 30.508589245244, -97.758571528198 30.508497266296, -97.758800028613 30.508357508046, -97.758851108616 30.508331275585, -97.758895936968 30.50832975396, -97.758980839726 30.508328650177, -97.758984293631 30.508328522687, -97.759077116921 30.508325106056, -97.759095269791 30.508325418418, -97.75911550181 30.508325766129, -97.759298699505 30.508324073826, -97.759355507605 30.50832237883, -97.759401280408 30.508321041084, -97.75941075767 30.508320763576, -97.759441830897 30.508320451394, -97.759500165402 30.508319859808, -97.759527049422 30.508319463663, -97.759672786786 30.508316947129, -97.75979764584 30.508314790855, -97.759814202062 30.508312104216, -97.760032066379 30.508276746815, -97.76109706434 30.508104013249, -97.761563380814 30.508028364884, -97.761595729322 30.508020761504, -97.76201261295 30.50629770535, -97.763494352454 30.506865382554, -97.763371376285 30.506957754048, -97.763316953992 30.506998635927, -97.763255756518 30.507044606798, -97.763216929445 30.507073616314, -97.763109792835 30.507191332828, -97.763002560436 30.507309075314, -97.762927960117 30.507593013956, -97.763278370597 30.507564821449, -97.763398765032 30.50755614587, -97.76341212016 30.507555157006, -97.763455798383 30.507551924306, -97.763487093664 30.507548825543, -97.763497392042 30.507547805292, -97.763539210036 30.507543636613, -97.763706317064 30.507530642732, -97.763969383868 30.507510491455, -97.765121762069 30.507422972886, -97.765181011583 30.507415439051, -97.765380518564 30.507346405524, -97.766051429982 30.507114265288, -97.76613345863 30.507197122923, -97.766168495764 30.50723257695, -97.766206854189 30.507271391804, -97.766706319671 30.506901522198, -97.767185721372 30.506546252263, -97.767645533035 30.50620549693, -97.7677859949 30.506150203302, -97.767886637017 30.506110585608, -97.767935419253 30.506091368163, -97.767994999503 30.506067896147, -97.766201769764 30.507352939687, -97.765987302115 30.507514993169, -97.766398374451 30.507885069339, -97.766265756513 30.507956036787, -97.765022325826 30.508621412021, -97.764222966607 30.50887553728, -97.763933713536 30.508847253571, -97.763648488894 30.508846527088, -97.763193377775 30.508977221092, -97.762852592074 30.509055249465, -97.762543487297 30.509059047974, -97.762034278404 30.509145667515, -97.7620181649 30.509148397593, -97.761870148542 30.509127956143, -97.761722132223 30.509107515424, -97.761310130311 30.508959495061, -97.760927801292 30.508710195553, -97.760652010751 30.508579861641, -97.76039580501 30.50860468152, -97.759966468656 30.508660961425, -97.759728288506 30.508648337348, -97.759490107352 30.508635713711, -97.759361200114 30.508628867088, -97.75903372194 30.508652256048, -97.758739392337 30.508771167647, -97.758590910201 30.508768191488, -97.758516233203 30.508671863516, -97.758384761792 30.508699178745, -97.758046174737 30.508917037989, -97.757748209481 30.509170640679, -97.757599259876 30.509407289929, -97.75710957963 30.510385911987, -97.756811060179 30.510806033041, -97.756231878129 30.511797845684, -97.756148189111 30.512260422707, -97.75599062295 30.512596734744, -97.755707813986 30.512950474485, -97.755271648048 30.513346542911, -97.754417378038 30.514020141403, -97.753503712708 30.514569629436, -97.753441360456 30.514606956124, -97.753163355856 30.514769378629, -97.752924669609 30.51486890816, -97.752904796205 30.514877645213, -97.7526195645 30.514958704802, -97.752339713489 30.515025405456, -97.752269451812 30.515042450347, -97.752121909398 30.515078240667, -97.751816423178 30.515173918291, -97.751760715537 30.515197345321, -97.751277513913 30.515357598969, -97.75094072213 30.51558894659, -97.750742320455 30.515725230567, -97.749617244966 30.516297474749, -97.74864225651 30.516854446764, -97.748641634088 30.516854843004, -97.748577764623 30.5166825956, -97.748557857526 30.51662892047, -97.748819472444 30.516405904742, -97.748841546326 30.516387123435, -97.748849557588 30.516379989134, -97.748861659383 30.516369211338, -97.748941480767 30.5162981539, -97.748988191778 30.516256571417, -97.748994778256 30.516250720458, -97.749008141294 30.516238848209, -97.749324874394 30.515994332019, -97.749635954413 30.515754459457, -97.750029230464 30.515451165485, -97.751226672135 30.514857674028, -97.751654253083 30.514645761468, -97.751853106119 30.514547207824, -97.751925548281 30.514524157652, -97.752235115289 30.514425616547, -97.752479912409 30.514347171685, -97.752517848518 30.514335034806, -97.752726273242 30.514301596873, -97.752916794097 30.514271069066, -97.752929432899 30.51426904362, -97.753283688306 30.51407111994, -97.753875225423 30.513740717823, -97.754415458678 30.513366035449, -97.754661521 30.513195375904, -97.754741836291 30.513137993653, -97.755521833963 30.51228288564, -97.755633342593 30.512105459912, -97.755881688629 30.511710304211, -97.756374291705 30.510925004102, -97.756427227321 30.510802163141, -97.756574108946 30.510461452148, -97.756634638558 30.510320721041, -97.756647290583 30.510285188702, -97.756682585136 30.510186062951, -97.756690204486 30.510149443393, -97.756714888603 30.51009301495, -97.756720891736 30.510079291577, -97.75749415118 30.509255969469, -97.757724618988 30.509013086446, -97.757893662721 30.508909569569, -97.758052137713 30.508812524261)))",403,291,CITY OF AUSTIN,AUSTIN 2 MILE ETJ,202,2 MILE ETJ,2MILE,1699291.56640625,17000.9275944712
