Inventory ID,Prop ID,Feature,Type,Category,Sub-Category
47071,Q467,Benches,Bleachers,Structural Features,
8212,BZ287,Trees,1-5,Landscape Features,
9617,M010-ZN24&25,Fences,Wire,Structural Features,
26581,R079,Trails,Dirt Paths,Landscape Features,
32674,X283,Play Equipment,BBCT,Structural Features,
25079,QZ631,Paved Surfaces,Belgian Blocks,Structural Features,
62375,Q099-ZN05,Fences,Wrought-Iron,Structural Features,
16791,Q007,Lawns,Natural Areas,Landscape Features,
47442,Q223,Fences,Chain & Pillar,Structural Features,
15669,MZ163,Horticultural Areas,Wild Flowers,Landscape Features,
54444,Q411-G01,Fences,Wrought-Iron,Structural Features,
52109,X030-ZN01,Fences,Pipe-Rail,Structural Features,
5443,B255H,Trees,>10,Landscape Features,
11622,M071-03,Paved Surfaces,Belgian Blocks,Structural Features,
49112,B223JC,Fences,Wire,Structural Features,
28301,X010-05,Paved Surfaces,Color Seal,Structural Features,
26520,R075A,Sidewalks,Concrete Flags,Structural Features,
33513,XZ336,Sidewalks,Concrete Curbs,Structural Features,
10960,M042-ZN01,Play Equipment,BBCT,Structural Features,
33521,XZ338,Trees,6-10,Landscape Features,
26631,R085,Paved Surfaces,Belgian Blocks,Structural Features,
28931,X038-01,Paved Surfaces,Asphalt,Structural Features,
8220,BZ289,Sidewalks,Concrete Flags,Structural Features,
15121,M282,Horticultural Areas,Bushes,Landscape Features,
54152,B028-G01,Paved Surfaces,Brick,Structural Features,
38911,R106-ZN01,Fences,Guardrails,Structural Features,
5982,B287,Benches,Plastic Benches,Structural Features,
58760,M037-ZN01,Benches,Picnic Tables,Structural Features,
51113,B018-ZN03,Paved Surfaces,Cribbing,Structural Features,
37750,X244,Play Equipment,Playground Environments,Structural Features,
61953,R006-ZN04,Sidewalks,Concrete Flags,Structural Features,
33699,XZ55,Paved Surfaces,Belgian Blocks,Structural Features,
27622,RZ51,Horticultural Areas,Bushes,Landscape Features,
16942,Q010A-ZN01,Lawns,Natural Areas,Landscape Features,
19736,Q122,Safety Surface,Mitchell New Sectional,Structural Features,
37314,QT18,Horticultural Areas,Bushes,Landscape Features,
25471,R005-ZN02,Sidewalks,Concrete Curbs,Structural Features,
34862,X022,Trees,>10,Landscape Features,
1364,B061,Play Equipment,Swings,Structural Features,
22057,Q357B01,Lawns,Tree Lines,Landscape Features,
37113,M081-ZN02,Paved Surfaces,Belgian Blocks,Structural Features,
30712,X122,Play Equipment,BBCT,Structural Features,
1452,B065-ZN08,Paved Surfaces,Asphalt,Structural Features,
48529,Q491,Lawns,Lawn,Landscape Features,
2272,B082-ZN01,Water Bodies,Pond,Landscape Features,
27088,RZ103,Sidewalks,Concrete Curbs,Structural Features,
59742,B312,Play Equipment,Painted Games,Structural Features,
8893,M002,Paved Surfaces,Hex Blocks,Structural Features,
59761,B125-01,Fences,Pipe-Rail,Structural Features,
15640,MZ153,Horticultural Areas,Bushes,Landscape Features,
49127,QZ140,Trees,1-5,Landscape Features,
30337,X104,Play Equipment,Bocce Court,Structural Features,
25709,R024,Benches,Wood Benches,Structural Features,
19175,Q099-ZN17,Benches,Wood Benches,Structural Features,
14047,M192,Benches,Wood Benches,Structural Features,
15801,MZ217,Horticultural Areas,Wild Flowers,Landscape Features,
59676,R006-01,Trees,>10,Landscape Features,
32024,X200,Fences,Pipe-Rail,Structural Features,
50415,RZ39,Trees,1-5,Landscape Features,
49536,QZ318,Paved Surfaces,Brick,Structural Features,
32409,X246,Sidewalks,Concrete Flags,Structural Features,
62084,M385,Paved Surfaces,Belgian Blocks,Structural Features,
10802,M037-ZN04,Benches,Wood Benches,Structural Features,
47435,B200,Play Equipment,Sprinkler,Structural Features,
373,B025,Fences,Chain-Link,Structural Features,
22486,Q377,Fences,Pipe-Rail,Structural Features,
38158,M076,Paved Surfaces,Asphalt,Structural Features,
22296,Q363,Paved Surfaces,Concrete,Structural Features,
48467,B207,Fences,Pipe-Rail,Structural Features,
767,B044,Paved Surfaces,Stone/Slate/Granite,Structural Features,
47881,Q015-05,Play Equipment,Chess & Checkers Tables,Structural Features,
30462,X110A,Sidewalks,Concrete Curbs,Structural Features,
20644,Q220F,Paved Surfaces,Concrete,Structural Features,
9121,M010-151,Fences,Chain-Link,Structural Features,
10091,M013,Fences,Wrought-Iron,Structural Features,
24228,QZ281,Sidewalks,Concrete Curbs,Structural Features,
62123,M111,Play Equipment,Chess & Checkers Tables,Structural Features,
51170,B322,Benches,Plastic Benches,Structural Features,
57449,M360-ZN01,Horticultural Areas,Flower Beds,Landscape Features,
10923,M056-01,Horticultural Areas,Grass,Landscape Features,
58477,M028-ZN02B,Fences,Pipe-Rail,Structural Features,
60023,R011,Paved Surfaces,Cribbing,Structural Features,
54481,R013-G01,Benches,Bleachers,Structural Features,
54619,R104-G01,Fences,Chain-Link,Structural Features,
52114,X030-ZN01,Play Equipment,HBCT,Structural Features,
8409,BZ349,Sidewalks,Concrete Curbs,Structural Features,
51689,R129-01,Play Equipment,Landscape Structures,Structural Features,
28274,X010-02,Play Equipment,Swings,Structural Features,
2003,B073-ZN23,Trails,Old Pavement,Landscape Features,
33310,XZ274,Horticultural Areas,Bushes,Landscape Features,
48169,B028-ZN02,Paved Surfaces,Gravel,Structural Features,
14475,M216,Sidewalks,Concrete Curbs,Structural Features,
61339,X105,Lawns,Natural Areas,Landscape Features,
47545,XZ254,Sidewalks,Concrete Curbs,Structural Features,
21598,Q330,Fences,Wrought-Iron,Structural Features,
8801,BZ86,Trees,1-5,Landscape Features,
35261,Q001-04,Benches,Wood Benches,Structural Features,
37641,Q483,Trees,6-10,Landscape Features,
19596,Q116,Horticultural Areas,Bushes,Landscape Features,
22463,Q375,Fences,Pipe-Rail,Structural Features,
9327,M010-ZN03,Paved Surfaces,Asphalt,Structural Features,
4449,B223B,Safety Surface,Mitchell New Sectional,Structural Features,
11373,M056-ZN03,Fences,Wire,Structural Features,
60350,Q294,Play Equipment,Painted Games,Structural Features,
8223,BZ289,Sidewalks,Concrete Curbs,Structural Features,
27011,RZ03,Horticultural Areas,Bushes,Landscape Features,
30121,X092-ZN10,Trails,Old Pavement,Landscape Features,
49263,X137,Lawns,Grass Strips,Landscape Features,
10305,M023,Trees,6-10,Landscape Features,
17289,Q015-ZN02,Paved Surfaces,Asphalt,Structural Features,
51708,X348-01,Sidewalks,Concrete Flags,Structural Features,
22653,Q393B,Fences,Chain-Link,Structural Features,
9965,M010-ZN44,Benches,Wood Benches,Structural Features,
21109,Q300-ZN03,Benches,Wood Benches,Structural Features,
50890,B052-03,Fences,Snow Picket,Structural Features,
29270,X039-ZN22,Fences,Wood Guardrails,Structural Features,
55666,M008,Sidewalks,Concrete Curbs,Structural Features,
59337,Q102-ZN04,Paved Surfaces,Belgian Blocks,Structural Features,
61117,M231,Fences,Pipe-Rail,Structural Features,
