Construction ID,Full Capital,Requirements,In-House,Unknown Parks,Non-Parks,Who Non-Parks,Sign Present,Area Clean,Fenced Off,Access,Workers Present,Comments,Inspection ID
2146776301,0,0,0,0,0,,0,0,0,0,0,,118776
2146776296,0,0,0,0,0,,1,1,1,1,0,,118703
2146776274,1,0,0,0,0,,1,1,1,1,0,,118533
2146776276,1,0,0,0,0,,1,0,1,0,0,,118529
2146776234,1,0,0,0,0,,1,1,1,1,0,,118041
2146776339,0,0,0,0,0,,1,1,1,1,0,,119130
2146776343,1,0,0,0,0,,1,0,1,0,1,,119148
2146776342,0,0,0,0,0,,0,0,1,0,0,Boathouse bridge under repair,119143
2146776300,0,0,0,0,0,,0,0,0,0,0,,118740
2146776267,0,0,0,0,0,,1,1,1,1,0,,118425
2146776287,0,0,0,0,0,,1,1,1,1,1,,118577
2146776270,0,0,0,0,0,,1,0,1,0,0,,118459
2146776366,1,0,0,0,0,,0,0,1,0,0,,119545
2146776356,0,0,0,0,0,,1,1,1,1,1,,119412
2146776360,1,0,0,0,0,,1,1,1,1,0,,119438
2146776369,1,0,0,0,0,,1,1,1,1,1,AF area under construction.,119571
2146776379,1,0,0,0,0,,1,1,1,1,1,,119698
2146776375,0,0,0,0,0,,1,1,1,1,1,,119622
2146776359,1,0,0,0,0,,1,0,0,0,0,New lighting currently being installed in track + field.,119439
2146776368,1,0,0,0,0,,1,1,1,1,0,,119567
2146776357,0,0,0,0,0,,1,1,1,1,1,,119424
2146776351,0,0,0,0,0,,0,1,1,1,0,,119275
2146776367,0,0,0,0,0,,0,1,1,1,1,,119565
2146776347,0,0,0,0,0,,1,0,1,1,0,,119236
2146776352,0,0,0,0,0,,0,0,1,0,0,,119298
2146776374,1,0,0,0,0,,1,1,1,1,1,Site under construction.,119631
2146776361,1,0,0,0,0,,1,1,1,1,1,,119454
2146776373,0,0,0,0,0,,0,0,0,0,0,,119606
2146776344,0,0,0,0,0,,1,1,1,1,0,,119169
2146776354,0,0,0,0,0,,0,0,0,0,0,,119322
2146776345,1,0,0,0,0,,1,1,1,1,0,,119213
2146776378,1,0,0,0,0,,1,0,1,0,0,PE being renovated,119684
2146776372,1,0,0,0,0,,1,1,1,1,1,Path & sitting area adj water closed for construction.,119601
2146776350,0,0,0,0,1,,1,1,1,1,1,,119260
2146776479,0,0,0,0,0,,0,0,0,0,0,,119678
2146776348,1,0,0,0,0,,1,0,1,1,0,,119235
2146776365,1,0,0,0,0,,1,1,1,1,1,Site completely closed for contruction.,119528
2146776370,0,0,0,0,0,,0,0,1,1,0,,119581
2146776362,1,0,0,0,0,,1,1,1,1,1,Only perimeter rated,119462
2146776363,0,0,0,0,0,,0,0,1,1,0,,119469
2146776355,1,1,0,0,0,,1,0,1,0,0,,119361
2146776478,0,0,0,0,0,,0,0,0,0,0,,119676
2146776349,0,0,0,0,0,,1,1,1,1,0,,119243
2146776477,0,0,0,0,0,,0,0,0,0,0,,119709
2146776377,0,0,0,0,0,,1,1,1,1,1,,119672
2146776376,0,0,0,0,0,,1,1,1,1,1,,119663
2146776346,0,0,0,0,0,,0,0,0,0,0,,119222
2146776358,0,0,0,0,1,,0,0,0,1,1,,119437
2146776371,1,0,0,0,0,,1,0,0,0,0,,119584
2146776380,1,0,0,0,0,,1,1,1,1,0,AF & PE under construction.,119702
2146776353,0,0,0,0,1,DOT,1,1,1,0,1,,119305
2146776417,0,0,0,0,0,,0,0,1,1,0,,120077
2146776426,0,0,0,0,0,,1,1,0,1,0,,120047
2146776384,0,0,0,0,1,DOE,0,1,1,1,0,,119729
2146776405,0,0,0,0,0,,1,1,1,1,0,,119944
2146776397,0,0,0,1,0,,0,0,1,0,1,,119862
2146776408,0,0,0,0,0,,1,1,1,1,1,,119976
2146776476,0,0,0,0,0,,0,0,0,0,0,,119780
2146776474,0,0,0,0,0,,0,0,0,0,0,,120076
2146776396,0,0,0,0,0,,1,1,1,1,1,,119842
2146776421,0,0,0,0,0,,1,1,1,1,0,,120142
2146776402,0,0,0,1,0,,1,1,1,1,1,Arsenal renovation.,119924
2146776399,0,0,0,0,0,,1,1,1,1,0,,119879
2146776406,0,0,0,0,0,,1,1,1,1,0,,119953
2146776410,1,0,0,0,0,,1,1,1,1,0,,120007
2146776395,0,0,0,0,0,,1,1,1,1,1,,119841
2146776420,0,0,0,0,0,,1,1,1,1,0,,120138
2146776424,0,0,0,0,0,,0,0,1,1,0,,120169
2146776404,1,1,0,0,0,,1,0,1,0,1,,119931
2146776407,0,0,0,0,0,,0,0,1,0,0,,119959
2146776393,0,0,0,0,0,,0,0,1,1,0,,119836
2146776398,0,0,0,0,0,,0,1,1,1,1,Sign needed.,119877
2146776391,1,1,0,0,0,,1,0,1,1,1,,119824
2146776382,1,0,0,0,0,,1,1,1,1,1,,119723
2146776383,0,0,0,0,0,,1,1,1,1,1,,119720
2146776413,1,0,0,0,0,,1,1,1,1,0,,120035
2146776394,0,0,0,0,0,,0,1,1,1,1,Site closed for construction.,119839
2146776381,0,0,0,0,1,,1,1,1,0,1,New housing construction.,119716
2146776390,0,0,0,0,0,,1,1,1,1,1,,119818
2146776415,0,0,0,0,0,,0,0,0,0,0,,120029
2146776403,0,0,1,0,0,,1,1,1,1,1,Reconstruction of 97th St staircases.,119925
2146776416,0,0,0,0,0,,1,1,1,1,1,,120075
2146776414,0,0,0,0,0,,1,1,1,1,0,,120034
2146776423,1,0,0,0,0,,1,0,0,0,0,Belvedere Castle under renovation,120155
2146776409,1,0,0,0,0,,1,1,1,1,1,,119989
2146776389,1,0,0,0,0,,1,0,1,0,1,Western side of plgd under renovation,119804
2146776386,1,0,0,0,0,,1,1,1,1,0,Pk reconstrucion.,119761
2146776412,0,0,0,0,0,,0,0,0,0,0,,120033
2146776411,1,1,0,0,0,,1,0,1,1,0,,120010
2146776422,0,1,0,0,0,,1,0,0,0,1,,120153
2146776401,0,0,0,0,0,,0,0,0,0,0,,119916
2146776387,1,0,0,0,0,,1,1,1,1,0,Reconstruction of trails.,119762
2146776388,0,0,0,0,1,MTA,1,1,1,1,1,,119782
2146776385,1,0,0,0,0,,1,0,1,0,1,"PE, swings & sprinkler being renovated",119749
2146776419,1,1,0,0,0,,0,0,1,1,1,,120112
2146776400,1,0,0,0,0,,1,0,1,0,0,Pavillion under construction at Northern edge of zone,119908
2146776418,0,0,0,0,0,,1,0,1,1,0,,120094
2146776392,1,1,0,0,0,,1,0,1,1,1,,119834
2146776458,0,0,0,0,0,,1,0,0,0,0,,120571
2146776453,0,0,0,0,0,,0,0,0,0,0,,120505
2146776465,0,0,0,0,0,,1,1,1,1,0,,120648
2146776427,1,0,0,0,0,,1,1,1,1,1,Renovation of BBCTs.,120185
2146776452,0,0,0,0,0,,1,0,1,0,0,,120500
2146776470,0,0,0,0,0,Closed for school use,1,1,0,1,0,,120665
2146776437,0,0,0,0,0,,1,1,1,0,0,,120339
2146776433,0,0,0,0,0,,0,1,0,1,0,Site locked  JOP perimeter rated.,120311
2146776448,1,0,0,0,0,,1,1,1,1,0,Site closed - perimeter only inspected.,120472
2146776434,0,0,0,0,0,,0,0,0,1,0,,120321
2146776466,0,0,0,0,0,,0,0,0,0,0,,120656
2146776454,0,0,0,0,1,,0,1,1,1,1,DOT construction.,120515
2146776468,0,0,0,0,0,,0,0,0,0,0,,120478
2146776459,1,0,0,0,0,,1,1,1,1,1,,120578
2146776456,0,0,0,0,0,,1,1,1,1,0,,120525
2146776445,1,0,0,0,0,,1,1,1,1,0,,120468
2146776457,0,0,0,0,1,,0,1,1,1,0,DOT construction.,120545
2146776441,0,0,0,0,0,,1,0,1,1,1,,120419
2146776443,0,0,0,0,1,Abatement,1,1,1,1,0,,120450
2146776431,1,0,0,0,0,,1,0,1,0,0,Skate Park being renovated,120299
2146776451,1,0,0,0,0,,1,0,1,0,0,,120498
2146776471,0,1,0,0,0,,1,0,1,0,1,,120680
2146776425,1,0,0,0,0,,1,1,1,1,1,Renovation of locker rooms.,120182
2146776462,0,0,0,0,0,,0,0,1,1,0,,120612
2146776475,0,0,0,0,0,,0,0,0,0,0,,120687
2146776436,1,0,0,0,0,,1,1,1,1,1,,120330
2146776472,1,0,0,0,0,,1,0,1,1,1,,120575
